,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_x_l,prob_x_r,revealed_o_ambig,revealed_x_ambig,revealed_ambi,prob_x_ambig_bayes,ambiguityLevel,MID
0,1.0,0.66,0.76,0.48,0.29,1.0,12.0,50.0,1.0,1.0,0,0.0,gain,0.29,0.48,0.33999999999999997,0.24,0.33999999999999997,0.24,12.0,38.0,1.0,0.25,-2.4641016151377544,S30
1,,0.45999999999999996,0.84,0.64,0.38,1.0,8.000000000000002,50.0,1.0,,0,0.0,gain,0.38,0.64,0.54,0.16000000000000003,0.54,0.16000000000000003,8.000000000000002,42.0,1.0,0.1730769230769231,-1.8284271247461903,S30
2,,0.12,0.88,1.24,0.05,0.4,3.0,20.0,0.6324555320336759,,1,0.0,gain,0.05,1.24,0.88,0.12,0.88,0.12,3.0,17.0,0.6324555320336759,0.18181818181818182,-0.7320508075688772,S30
3,0.0,0.76,0.88,0.2,0.06,0.8,5.0,40.0,0.8944271909999159,0.0,1,0.0,gain,0.06,0.2,0.24,0.12,0.24,0.12,5.0,35.0,0.8944271909999159,0.14285714285714285,-1.2360679774997898,S30
4,1.0,0.6,0.72,0.07,0.08,1.0,14.000000000000002,50.0,1.0,1.0,0,0.0,gain,0.08,0.07,0.4,0.28,0.4,0.28,14.000000000000002,36.0,1.0,0.2884615384615385,-2.7416573867739418,S30
5,0.0,0.92,0.92,0.64,0.64,0.2,1.0,10.0,0.4472135954999579,0.0,1,0.0,gain,0.64,0.64,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,1.0,9.0,0.4472135954999579,0.16666666666666666,0.0,S30
6,1.0,0.64,0.72,0.84,0.87,1.0,14.000000000000002,50.0,1.0,1.0,0,0.0,gain,0.87,0.84,0.36,0.28,0.36,0.28,14.000000000000002,36.0,1.0,0.2884615384615385,-2.7416573867739418,S30
7,0.0,0.76,0.43999999999999995,0.65,1.34,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,gain,1.34,0.65,0.24,0.56,0.24,0.56,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
8,0.0,0.76,0.58,0.13,0.29,0.2,5.0,10.0,0.4472135954999579,0.0,1,0.0,gain,0.29,0.13,0.24,0.42000000000000004,0.24,0.42000000000000004,5.0,5.0,0.4472135954999579,0.5,-1.2360679774997898,S30
9,0.0,0.74,0.43999999999999995,0.4,0.68,1.0,28.000000000000004,50.0,1.0,0.0,0,0.0,gain,0.68,0.4,0.26,0.56,0.26,0.56,28.000000000000004,21.999999999999996,1.0,0.5576923076923077,-4.291502622129181,S30
10,0.0,0.19999999999999996,0.64,0.75,0.94,0.1,2.0,5.0,0.31622776601683794,0.0,1,0.0,gain,0.94,0.75,0.8,0.36,0.8,0.36,2.0,3.0,0.31622776601683794,0.42857142857142855,-0.41421356237309515,S30
11,1.0,0.12,0.88,1.24,0.05,0.2,0.0,10.0,0.4472135954999579,1.0,1,0.0,gain,0.05,1.24,0.88,0.12,0.88,0.12,0.0,10.0,0.4472135954999579,0.08333333333333333,1.0,S30
12,0.0,0.24,0.82,0.87,0.12,1.0,9.000000000000002,50.0,1.0,0.0,0,0.0,gain,0.12,0.87,0.76,0.18000000000000005,0.76,0.18000000000000005,9.000000000000002,41.0,1.0,0.19230769230769235,-2.0000000000000004,S30
13,0.0,0.56,0.6,0.94,0.98,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,gain,0.98,0.94,0.43999999999999995,0.4,0.43999999999999995,0.4,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
14,0.0,0.84,0.38,0.2,0.45,0.04,1.0,2.0,0.2,0.0,1,0.0,gain,0.45,0.2,0.16000000000000003,0.62,0.16000000000000003,0.62,1.0,1.0,0.2,0.5,0.0,S30
15,0.0,0.8,0.76,0.38,0.39,1.0,12.0,50.0,1.0,0.0,0,0.0,gain,0.39,0.38,0.19999999999999996,0.24,0.19999999999999996,0.24,12.0,38.0,1.0,0.25,-2.4641016151377544,S30
16,1.0,0.76,0.84,0.86,0.78,0.06,0.0,3.0,0.2449489742783178,1.0,1,0.0,gain,0.78,0.86,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,3.0,0.2449489742783178,0.2,1.0,S30
17,0.0,0.6,0.6,1.0,0.98,0.1,2.0,5.0,0.31622776601683794,0.0,1,0.0,gain,0.98,1.0,0.4,0.4,0.4,0.4,2.0,3.0,0.31622776601683794,0.42857142857142855,-0.41421356237309515,S30
18,0.0,0.07999999999999996,0.4,0.54,0.2,1.0,30.0,50.0,1.0,0.0,0,0.0,gain,0.2,0.54,0.92,0.6,0.92,0.6,30.0,20.0,1.0,0.5961538461538461,-4.477225575051661,S30
19,1.0,0.52,0.92,0.29,0.16,1.0,3.9999999999999982,50.0,1.0,1.0,0,0.0,gain,0.16,0.29,0.48,0.07999999999999996,0.48,0.07999999999999996,3.9999999999999982,46.0,1.0,0.09615384615384612,-0.9999999999999996,S30
20,0.0,0.88,0.8,0.06,0.08,0.4,5.0,20.0,0.6324555320336759,0.0,1,0.0,gain,0.08,0.06,0.12,0.19999999999999996,0.12,0.19999999999999996,5.0,15.0,0.6324555320336759,0.2727272727272727,-1.2360679774997898,S30
21,1.0,0.72,0.52,0.21,0.58,1.0,24.0,50.0,1.0,1.0,0,0.0,gain,0.58,0.21,0.28,0.48,0.28,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
22,0.0,0.94,0.28,0.2,0.8,0.08,3.0,4.0,0.282842712474619,0.0,1,0.0,gain,0.8,0.2,0.06000000000000005,0.72,0.06000000000000005,0.72,3.0,1.0,0.282842712474619,0.6666666666666666,-0.7320508075688772,S30
23,1.0,0.24,0.92,0.21,0.16,1.0,3.9999999999999982,50.0,1.0,1.0,0,0.0,gain,0.16,0.21,0.76,0.07999999999999996,0.76,0.07999999999999996,3.9999999999999982,46.0,1.0,0.09615384615384612,-0.9999999999999996,S30
24,0.0,0.52,0.28,0.29,0.18,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,gain,0.18,0.29,0.48,0.72,0.48,0.72,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
25,0.0,0.52,0.84,0.7,0.38,1.0,8.000000000000002,50.0,1.0,0.0,0,0.0,gain,0.38,0.7,0.48,0.16000000000000003,0.48,0.16000000000000003,8.000000000000002,42.0,1.0,0.1730769230769231,-1.8284271247461903,S30
26,0.0,0.45999999999999996,0.30000000000000004,0.73,1.01,0.04,1.0,2.0,0.2,0.0,1,0.0,gain,1.01,0.73,0.54,0.7,0.54,0.7,1.0,1.0,0.2,0.5,0.0,S30
27,1.0,0.88,0.86,0.24,0.19,1.0,7.000000000000001,50.0,1.0,1.0,0,0.0,gain,0.19,0.24,0.12,0.14,0.12,0.14,7.000000000000001,43.0,1.0,0.15384615384615385,-1.6457513110645907,S30
28,0.0,0.96,0.32000000000000006,0.63,0.94,0.8,26.0,40.0,0.8944271909999159,0.0,1,0.0,gain,0.94,0.63,0.040000000000000036,0.6799999999999999,0.040000000000000036,0.6799999999999999,26.0,14.0,0.8944271909999159,0.6428571428571429,-4.0990195135927845,S30
29,0.0,0.92,0.24,0.16,0.62,0.4,14.0,20.0,0.6324555320336759,0.0,1,0.0,gain,0.62,0.16,0.07999999999999996,0.76,0.07999999999999996,0.76,14.0,6.0,0.6324555320336759,0.6818181818181818,-2.7416573867739413,S30
30,1.0,0.8,0.52,0.45,0.59,1.0,24.0,50.0,1.0,1.0,0,0.0,gain,0.59,0.45,0.19999999999999996,0.48,0.19999999999999996,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
31,1.0,0.6,0.8,1.0,0.67,1.0,9.999999999999998,50.0,1.0,1.0,0,0.0,gain,0.67,1.0,0.4,0.19999999999999996,0.4,0.19999999999999996,9.999999999999998,40.0,1.0,0.2115384615384615,-2.162277660168379,S30
32,1.0,0.76,0.52,0.44,0.5,1.0,24.0,50.0,1.0,1.0,0,0.0,gain,0.5,0.44,0.24,0.48,0.24,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
33,0.0,0.56,0.32000000000000006,1.07,0.94,1.0,34.0,50.0,1.0,0.0,0,0.0,gain,0.94,1.07,0.43999999999999995,0.6799999999999999,0.43999999999999995,0.6799999999999999,34.0,16.0,1.0,0.6730769230769231,-4.830951894845301,S30
34,0.0,0.94,0.28,0.2,0.8,0.06,2.0,3.0,0.2449489742783178,0.0,1,0.0,gain,0.8,0.2,0.06000000000000005,0.72,0.06000000000000005,0.72,2.0,1.0,0.2449489742783178,0.6,-0.41421356237309515,S30
35,0.0,0.28,0.6,0.18,0.25,1.0,20.0,50.0,1.0,0.0,0,0.0,gain,0.25,0.18,0.72,0.4,0.72,0.4,20.0,30.0,1.0,0.40384615384615385,-3.4721359549995796,S30
36,1.0,0.72,0.94,0.31,0.2,0.4,1.0,20.0,0.6324555320336759,1.0,1,0.0,gain,0.2,0.31,0.28,0.06000000000000005,0.28,0.06000000000000005,1.0,19.0,0.6324555320336759,0.09090909090909091,0.0,S30
37,0.0,0.48,0.6,0.1,0.5,1.0,20.0,50.0,1.0,0.0,0,0.0,gain,0.5,0.1,0.52,0.4,0.52,0.4,20.0,30.0,1.0,0.40384615384615385,-3.4721359549995796,S30
38,0.0,0.58,0.58,0.05,0.17,0.08,1.0,4.0,0.282842712474619,0.0,1,0.0,gain,0.17,0.05,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,1.0,3.0,0.282842712474619,0.3333333333333333,0.0,S30
39,0.0,0.52,0.26,0.7,1.1,0.1,3.0,5.0,0.31622776601683794,0.0,1,0.0,gain,1.1,0.7,0.48,0.74,0.48,0.74,3.0,2.0,0.31622776601683794,0.5714285714285714,-0.7320508075688772,S30
40,1.0,0.8,0.84,0.22,0.07,0.02,0.0,1.0,0.1414213562373095,1.0,1,0.0,gain,0.07,0.22,0.19999999999999996,0.16000000000000003,0.19999999999999996,0.16000000000000003,0.0,1.0,0.1414213562373095,0.3333333333333333,1.0,S30
41,1.0,0.3400000000000001,0.24,0.16,0.14,1.0,38.0,50.0,1.0,1.0,0,0.0,gain,0.14,0.16,0.6599999999999999,0.76,0.6599999999999999,0.76,38.0,12.0,1.0,0.75,-5.164414002968976,S30
42,1.0,0.96,0.92,0.63,0.33,0.08,0.0,4.0,0.282842712474619,1.0,1,0.0,gain,0.33,0.63,0.040000000000000036,0.07999999999999996,0.040000000000000036,0.07999999999999996,0.0,4.0,0.282842712474619,0.16666666666666666,1.0,S30
43,0.0,0.96,0.24,0.05,1.25,1.0,38.0,50.0,1.0,0.0,0,0.0,gain,1.25,0.05,0.040000000000000036,0.76,0.040000000000000036,0.76,38.0,12.0,1.0,0.75,-5.164414002968976,S30
44,1.0,0.6,0.92,0.58,0.27,0.06,0.0,3.0,0.2449489742783178,1.0,1,0.0,gain,0.27,0.58,0.4,0.07999999999999996,0.4,0.07999999999999996,0.0,3.0,0.2449489742783178,0.2,1.0,S30
45,1.0,0.41999999999999993,0.9,0.11,0.15,0.8,3.0,40.0,0.8944271909999159,1.0,1,0.0,gain,0.15,0.11,0.5800000000000001,0.09999999999999998,0.5800000000000001,0.09999999999999998,3.0,37.0,0.8944271909999159,0.09523809523809523,-0.7320508075688772,S30
46,0.0,0.54,0.52,0.51,0.43,1.0,24.0,50.0,1.0,0.0,0,0.0,gain,0.43,0.51,0.45999999999999996,0.48,0.45999999999999996,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
