id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,est_left_over_right,whensaved
164136,vp05,999,2017-08-30 19:51:58,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,1,NaN,NaN
164137,vp05,999,2017-08-30 19:52:32,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,2,NaN,NaN
164138,vp05,999,2017-08-30 19:53:00,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,3,NaN,NaN
164139,vp05,999,2017-08-30 19:53:30,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,4,NaN,NaN
164140,vp05,999,2017-08-30 19:53:49,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,5,NaN,NaN
164141,vp05,999,2017-08-30 19:53:59,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,6,NaN,NaN
164142,vp05,999,2017-08-30 19:54:02,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,7,NaN,NaN
164143,vp05,999,2017-08-30 19:54:19,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,8,NaN,NaN
164144,vp05,999,2017-08-30 19:54:58,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,9,NaN,NaN
164145,vp05,999,2017-08-30 19:55:10,999,999,999,999,999,999,999,999,999,inperson,0,999,XPAL,999,999,999,999,2,combined,999,999,999,999,10,NaN,NaN
