,id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,est_left_over_right,whensaved
121,176659,vp23_2,0,2017-10-31 22:42:10,1509489727560,X,1623,1000,0.83999999999999997,0.23999999999999999,left,1.0,1.0,inperson,0,0,XP2v,91,36.0,21.0,36,false,combined,9,37,41,13,0,,withintrial
122,176660,vp23_2,1,2017-10-31 22:42:17,1509489734210,X,1408,1000, 0.76000000000000001, 0.64000000000000001,left, 1.0, 1.0,inperson,0,0,XP2v,91, 78.0, 101.0,78,false,combined,13,17,37,33,0,,withintrial
123,176661,vp23_2,2,2017-10-31 22:42:24,1509489740636,O,1792,1000, 0.66000000000000003, 0.35999999999999999,left, 1.0, 0.80000000000000004,inperson,0,0,XP2v,91, 21.0, 68.0,0,false,combined,18,25,32,15,0,,withintrial
124,176662,vp23_2,3,2017-10-31 22:42:30,1509489747453,X,1055,1000, 0.76000000000000001, 0.92000000000000004,right, 0.10000000000000001, 1.0,inperson,0,0,XP2v,91, 8.0, 12.0,12,false,combined,1,4,4,46,0,,withintrial
125,176663,vp23_2,4,2017-10-31 22:42:36,1509489753536,O,1045,1000, 0.88, 0.38,left, 1.0, 1.0,inperson,0,0,XP2v,91, 7.0, 20.0,0,false,combined,6,31,44,19,0,,withintrial
126,176664,vp23_2,5,2017-10-31 22:42:50,1509489765626,O,3457,1012, 0.73999999999999999, 0.40000000000000002,right, 1.0, 1.0,inperson,0,0,XP2v,12, -16.0, -38.0,0,false,combined,13,30,37,20,0,,withintrial
127,176665,vp23_2,6,2017-10-31 22:42:57,1509489774112,X,1914,1012, 0.64000000000000001, 0.92000000000000004,right, 1.0, 0.02,inperson,0,0,XP2v,12, -97.0, -70.0,-70,false,combined,19,0,31,1,0,,withintrial
128,176666,vp23_2,7,2017-10-31 22:43:05,1509489781054,O,2297,1012, 0.41999999999999998, 0.26000000000000001,left, 1.0, 0.40000000000000002,inperson,0,0,XP2v,12, -33.0, -60.0,0,false,combined,28,17,22,3,0,,withintrial
129,176667,vp23_2,8,2017-10-31 22:43:11,1509489788370,O,1777,1012, 0.95999999999999996, 0.59999999999999998,right, 1.0, 1.0,inperson,0,0,XP2v,12, -5.0, -25.0,0,false,combined,3,20,47,30,0,,withintrial
130,176668,vp23_2,9,2017-10-31 22:43:20,1509489795172,X,3315,1012, 0.40000000000000002, 0.80000000000000004,left, 0.10000000000000001, 1.0,inperson,0,0,XP2v,12, -87.0, -55.0,-87,false,combined,4,10,1,40,0,,withintrial
131,176669,vp23_2,10,2017-10-31 22:43:33,1509489809539,X,2471,1012, 0.47999999999999998, 0.40000000000000002,right, 1.0, 1.0,inperson,0,0,XP2v,0, -63.0, -13.0,-13,false,combined,25,30,25,20,0,,withintrial
132,176670,vp23_2,11,2017-10-31 22:43:41,1509489817042,O,2290,1012, 0.71999999999999997, 0.059999999999999998,right, 1.0, 1.0,inperson,0,0,XP2v,0, -12.0, -134.0,0,false,combined,14,46,36,4,0,,withintrial
133,176671,vp23_2,12,2017-10-31 22:43:47,1509489824358,X,1577,1012, 0.44, 0.52000000000000002,right, 1.0, 0.02,inperson,0,0,XP2v,0, -68.0, -50.0,-50,false,combined,26,0,24,1,0,,withintrial
134,176672,vp23_2,13,2017-10-31 22:43:54,1509489830957,X,2059,1012, 0.29999999999999999, 0.46000000000000002,right, 1.0, 0.10000000000000001,inperson,0,0,XP2v,0, -60.0, -50.0,-50,false,combined,35,3,15,2,0,,withintrial
135,176673,vp23_2,14,2017-10-31 22:44:01,1509489838039,X,1721,1012, 0.64000000000000001, 0.38,right, 0.20000000000000001, 1.0,inperson,0,0,XP2v,0, -60.0, -81.0,-81,false,combined,3,31,7,19,0,,withintrial
136,176674,vp23_2,15,2017-10-31 22:44:14,1509489850799,X,1679,962, 0.95999999999999996, 0.59999999999999998,left, 1.0, 1.0,inperson,0,0,XP2v,-50, 16.0, 8.0,16,false,combined,2,20,48,30,0,,withintrial
137,176675,vp23_2,16,2017-10-31 22:44:21,1509489857508,X,2014,962, 0.35999999999999999, 0.92000000000000004,right, 0.059999999999999998, 1.0,inperson,0,0,XP2v,-50, 98.0, 90.0,90,false,combined,1,4,2,46,0,,withintrial
138,176676,vp23_2,17,2017-10-31 22:44:27,1509489864543,X,1274,962, 0.76000000000000001, 0.68000000000000005,left, 1.0, 0.02,inperson,0,0,XP2v,-50, 88.0, 80.0,88,false,combined,12,1,38,0,0,,withintrial
139,176677,vp23_2,18,2017-10-31 22:44:34,1509489870845,X,1473,962, 0.95999999999999996, 0.32000000000000001,left, 1.0, 1.0,inperson,0,0,XP2v,-50, 15.0, 53.0,15,false,combined,3,33,47,17,0,,withintrial
140,176678,vp23_2,19,2017-10-31 22:44:40,1509489877350,X,1778,962, 0.66000000000000003, 0.69999999999999996,left, 1.0, 1.0,inperson,0,0,XP2v,-50, 22.0, 23.0,22,false,combined,17,15,33,35,0,,withintrial
141,176679,vp23_2,20,2017-10-31 22:44:53,1509489890173,O,1695,984, 0.23999999999999999, 0.71999999999999997,right, 0.20000000000000001, 1.0,inperson,0,0,XP2v,22, 40.0, 7.0,0,false,combined,8,13,2,37,0,,withintrial
142,176680,vp23_2,21,2017-10-31 22:45:01,1509489896896,X,2899,984, 0.47999999999999998, 0.40000000000000002,left, 1.0, 1.0,inperson,0,0,XP2v,22, 63.0, 13.0,63,false,combined,25,30,25,20,0,,withintrial
143,176681,vp23_2,22,2017-10-31 22:45:08,1509489904821,O,1881,984, 0.28000000000000003, 0.66000000000000003,left, 1.0, 0.059999999999999998,inperson,0,0,XP2v,22, 88.0, 38.0,0,false,combined,36,1,14,2,0,,withintrial
144,176682,vp23_2,23,2017-10-31 22:45:15,1509489911731,X,2263,984, 0.66000000000000003, 0.93999999999999995,right, 1.0, 1.0,inperson,0,0,XP2v,22, 15.0, 5.0,5,false,combined,18,2,32,48,0,,withintrial
145,176683,vp23_2,24,2017-10-31 22:45:22,1509489919016,O,1502,984, 0.44, 0.44,right, 0.02, 1.0,inperson,0,0,XP2v,22, 11.0, 14.0,0,false,combined,0,27,1,23,0,,withintrial
146,176684,vp23_2,25,2017-10-31 22:45:39,1509489931558,O,5734,984, 0.44, 0.59999999999999998,right, 1.0, 0.80000000000000004,inperson,0,0,XP2v,0, 68.0, 45.0,0,false,combined,27,20,23,30,0,,withintrial
