id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,est_left_over_right,whensaved
175343,vp27_2,999,2017-10-31 16:09:26,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,1,NaN,withintrial
175344,vp27_2,999,2017-10-31 16:09:28,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,2,NaN,withintrial
175345,vp27_2,999,2017-10-31 16:09:29,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,3,NaN,withintrial
175346,vp27_2,999,2017-10-31 16:09:29,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,4,NaN,withintrial
175347,vp27_2,999,2017-10-31 16:09:30,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,5,NaN,withintrial
175348,vp27_2,999,2017-10-31 16:09:33,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,6,NaN,withintrial
175349,vp27_2,999,2017-10-31 16:09:34,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,7,NaN,withintrial
175350,vp27_2,999,2017-10-31 16:09:35,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,8,NaN,withintrial
175351,vp27_2,999,2017-10-31 16:09:36,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,9,NaN,withintrial
175352,vp27_2,999,2017-10-31 16:09:36,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,10,NaN,withintrial
175353,vp27_2,999,2017-10-31 16:09:37,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,11,NaN,withintrial
175354,vp27_2,999,2017-10-31 16:09:38,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,12,NaN,withintrial
175355,vp27_2,999,2017-10-31 16:09:39,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,13,NaN,withintrial
175356,vp27_2,999,2017-10-31 16:09:40,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,14,NaN,withintrial
175357,vp27_2,999,2017-10-31 16:09:40,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,15,NaN,withintrial
175358,vp27_2,999,2017-10-31 16:09:41,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,16,NaN,withintrial
175359,vp27_2,999,2017-10-31 16:09:42,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,17,NaN,withintrial
175360,vp27_2,999,2017-10-31 16:09:44,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,18,NaN,withintrial
175361,vp27_2,999,2017-10-31 16:09:45,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,19,NaN,withintrial
175362,vp27_2,999,2017-10-31 16:09:45,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,20,NaN,withintrial
175363,vp27_2,999,2017-10-31 16:09:46,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,21,NaN,withintrial
175364,vp27_2,999,2017-10-31 16:09:47,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,22,NaN,withintrial
175365,vp27_2,999,2017-10-31 16:09:48,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,23,NaN,withintrial
175366,vp27_2,999,2017-10-31 16:09:49,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,24,NaN,withintrial
175367,vp27_2,999,2017-10-31 16:09:50,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,25,NaN,withintrial
175368,vp27_2,999,2017-10-31 16:09:51,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,26,NaN,withintrial
175369,vp27_2,999,2017-10-31 16:09:52,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,27,NaN,withintrial
175370,vp27_2,999,2017-10-31 16:09:53,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,28,NaN,withintrial
175371,vp27_2,999,2017-10-31 16:09:53,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,29,NaN,withintrial
175372,vp27_2,999,2017-10-31 16:09:54,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,30,NaN,withintrial
175373,vp27_2,999,2017-10-31 16:09:55,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,31,NaN,withintrial
175374,vp27_2,999,2017-10-31 16:09:55,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,32,NaN,withintrial
175375,vp27_2,999,2017-10-31 16:09:56,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,33,NaN,withintrial
175376,vp27_2,999,2017-10-31 16:09:56,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,34,NaN,withintrial
175377,vp27_2,999,2017-10-31 16:10:00,999,999,999,999,999,999,999,999,999,inperson,0,999,nTTv,999,999,999,999,2,combined,999,999,999,999,35,NaN,withintrial
