,ml,mr,pr,pl,rr,rl,gainloss,mdiff,pdiff,adiff,ev_r,ev_l,prob_o_l,prob_o_r,nobrainer
0,36.0,21.0,0.76,0.16,1.0,1.0,1.0,-15.0,-0.6,0.0,10.2,-10.2,0.84,0.24,1
1,78.0,101.0,0.36,0.24,1.0,1.0,1.0,23.0,-0.12,0.0,17.64,-17.64,0.76,0.64,0
2,21.0,39.0,0.64,0.34,0.8,1.0,1.0,18.0,-0.3,-0.2,17.82,-17.82,0.66,0.36,0
3,3.0,12.0,0.08,0.24,1.0,0.1,1.0,9.0,0.16,0.9,0.24,-0.24,0.76,0.92,1
4,7.0,20.0,0.62,0.12,1.0,1.0,1.0,13.0,-0.5,0.0,11.56,-11.56,0.88,0.38,0
5,-74.0,-84.0,0.72,0.64,0.06,1.0,2.0,-10.0,-0.08,-0.94,-13.12,13.12,0.36,0.28,0
6,-68.0,-29.0,0.48,0.56,0.2,1.0,2.0,39.0,0.08,-0.8,24.16,-24.16,0.44,0.52,0
7,-7.0,-21.0,0.76,0.28,0.4,1.0,2.0,-14.0,-0.48,-0.6,-14.0,14.0,0.72,0.24,0
8,-17.0,-50.0,0.4,0.12,1.0,1.0,2.0,-33.0,-0.28,0.0,-17.96,17.96,0.88,0.6,0
9,-68.0,-29.0,0.48,0.56,0.02,1.0,2.0,39.0,0.08,-0.98,24.16,-24.16,0.44,0.52,0
10,-36.0,-21.0,0.76,0.16,1.0,1.0,2.0,15.0,-0.6,0.0,-10.2,10.2,0.84,0.24,1
11,-78.0,-101.0,0.36,0.24,1.0,1.0,2.0,-23.0,-0.12,0.0,-17.64,17.64,0.76,0.64,0
12,-21.0,-39.0,0.64,0.34,0.8,1.0,2.0,-18.0,-0.3,-0.2,-17.82,17.82,0.66,0.36,0
13,-3.0,-12.0,0.08,0.24,1.0,0.1,2.0,-9.0,0.16,0.9,-0.24,0.24,0.76,0.92,1
14,-7.0,-20.0,0.62,0.12,1.0,1.0,2.0,-13.0,-0.5,0.0,-11.56,11.56,0.88,0.38,0
15,16.0,8.0,0.4,0.04,1.0,1.0,1.0,-8.0,-0.36,0.0,2.56,-2.56,0.96,0.6,1
16,98.0,65.0,0.08,0.64,1.0,0.06,1.0,-33.0,0.56,0.94,-57.52,57.52,0.36,0.92,0
17,88.0,74.0,0.32,0.24,0.02,1.0,1.0,-14.0,-0.08,-0.98,2.56,-2.56,0.76,0.68,1
18,15.0,53.0,0.68,0.04,1.0,1.0,1.0,38.0,-0.64,0.0,35.44,-35.44,0.96,0.32,0
19,22.0,23.0,0.3,0.34,1.0,1.0,1.0,1.0,0.04,0.0,-0.58,0.58,0.66,0.7,1
20,21.0,7.0,0.28,0.76,1.0,0.2,1.0,-14.0,0.48,0.8,-14.0,14.0,0.24,0.72,0
21,63.0,13.0,0.6,0.52,1.0,1.0,1.0,-50.0,-0.08,0.0,-24.96,24.96,0.48,0.4,1
22,76.0,38.0,0.34,0.72,0.06,1.0,1.0,-38.0,0.38,-0.94,-41.8,41.8,0.28,0.66,0
23,15.0,5.0,0.06,0.34,1.0,1.0,1.0,-10.0,0.28,0.0,-4.8,4.8,0.66,0.94,0
24,11.0,14.0,0.56,0.56,1.0,0.02,1.0,3.0,0.0,0.98,1.68,-1.68,0.44,0.44,0
25,68.0,29.0,0.48,0.56,0.8,1.0,1.0,-39.0,0.08,-0.2,-24.16,24.16,0.44,0.52,0
26,94.0,115.0,0.48,0.36,1.0,0.4,1.0,21.0,-0.12,0.6,21.36,-21.36,0.64,0.52,0
27,62.0,134.0,0.8,0.74,1.0,1.0,1.0,72.0,-0.06,0.0,61.32,-61.32,0.26,0.2,0
28,27.0,7.0,0.32,0.78,1.0,0.06,1.0,-20.0,0.46,0.94,-18.82,18.82,0.22,0.68,0
29,39.0,34.0,0.12,0.24,1.0,1.0,1.0,-5.0,0.12,0.0,-5.28,5.28,0.76,0.88,0
30,-54.0,-74.0,0.66,0.4,1.0,0.4,2.0,-20.0,-0.26,0.6,-27.24,27.24,0.6,0.34,0
31,-93.0,-127.0,0.6,0.36,1.0,1.0,2.0,-34.0,-0.24,0.0,-42.72,42.72,0.64,0.4,0
32,-39.0,-21.0,0.34,0.64,1.0,0.02,2.0,18.0,0.3,0.98,17.82,-17.82,0.36,0.66,0
33,-9.0,-13.0,0.38,0.52,1.0,0.2,2.0,-4.0,0.14,0.8,-0.26,0.26,0.48,0.62,1
34,-125.0,-63.0,0.52,0.96,1.0,1.0,2.0,62.0,0.44,0.0,87.24,-87.24,0.04,0.48,0
35,74.0,84.0,0.72,0.64,0.06,1.0,1.0,10.0,-0.08,-0.94,13.12,-13.12,0.36,0.28,0
36,68.0,29.0,0.48,0.56,0.2,1.0,1.0,-39.0,0.08,-0.8,-24.16,24.16,0.44,0.52,0
37,7.0,21.0,0.76,0.28,0.4,1.0,1.0,14.0,-0.48,-0.6,14.0,-14.0,0.72,0.24,0
38,17.0,50.0,0.4,0.12,1.0,1.0,1.0,33.0,-0.28,0.0,17.96,-17.96,0.88,0.6,0
39,68.0,29.0,0.48,0.56,0.02,1.0,1.0,-39.0,0.08,-0.98,-24.16,24.16,0.44,0.52,0
40,74.0,107.0,0.44,0.64,1.0,0.1,1.0,33.0,0.2,0.9,-0.28,0.28,0.36,0.56,1
41,33.0,7.0,0.32,0.08,1.0,1.0,1.0,-26.0,-0.24,0.0,-0.4,0.4,0.92,0.68,1
42,13.0,9.0,0.52,0.38,0.8,1.0,1.0,-4.0,-0.14,-0.2,-0.26,0.26,0.62,0.48,1
43,40.0,51.0,0.64,0.62,0.06,1.0,1.0,11.0,-0.02,-0.94,7.84,-7.84,0.38,0.36,0
44,38.0,81.0,0.62,0.36,1.0,0.8,1.0,43.0,-0.26,0.2,36.54,-36.54,0.64,0.38,0
45,-74.0,-107.0,0.44,0.64,1.0,0.1,2.0,-33.0,0.2,0.9,0.28,-0.28,0.36,0.56,1
46,-33.0,-7.0,0.32,0.08,1.0,1.0,2.0,26.0,-0.24,0.0,0.4,-0.4,0.92,0.68,1
47,-13.0,-9.0,0.52,0.38,0.8,1.0,2.0,4.0,-0.14,-0.2,0.26,-0.26,0.62,0.48,1
48,-40.0,-51.0,0.64,0.62,0.06,1.0,2.0,-11.0,-0.02,-0.94,-7.84,7.84,0.38,0.36,0
49,-38.0,-81.0,0.62,0.36,1.0,0.8,2.0,-43.0,-0.26,0.2,-36.54,36.54,0.64,0.38,0
50,-9.0,-13.0,0.38,0.52,1.0,0.8,2.0,-4.0,0.14,0.2,-0.26,0.26,0.48,0.62,1
51,-34.0,-94.0,0.84,0.12,1.0,0.2,2.0,-60.0,-0.72,0.8,-74.88,74.88,0.88,0.16,0
52,-28.0,-40.0,0.62,0.26,1.0,1.0,2.0,-12.0,-0.36,0.0,-17.52,17.52,0.74,0.38,0
53,-62.0,-22.0,0.32,0.72,1.0,1.0,2.0,40.0,0.4,0.0,37.6,-37.6,0.28,0.68,0
54,-118.0,-32.0,0.62,0.8,1.0,1.0,2.0,86.0,0.18,0.0,74.56,-74.56,0.2,0.38,0
55,-115.0,-5.0,0.08,0.48,0.4,1.0,2.0,110.0,0.4,-0.6,54.8,-54.8,0.52,0.92,0
56,-77.0,-118.0,0.44,0.24,1.0,1.0,2.0,-41.0,-0.2,0.0,-33.44,33.44,0.76,0.56,0
57,-29.0,-25.0,0.08,0.14,1.0,1.0,2.0,4.0,0.06,0.0,2.06,-2.06,0.86,0.92,0
58,-91.0,-84.0,0.16,0.32,1.0,0.4,2.0,7.0,0.16,0.6,15.68,-15.68,0.68,0.84,0
59,-144.0,-114.0,0.52,0.56,1.0,1.0,2.0,30.0,0.04,0.0,21.36,-21.36,0.44,0.48,0
60,38.0,81.0,0.62,0.36,1.0,0.2,1.0,43.0,-0.26,0.8,36.54,-36.54,0.64,0.38,0
61,4.0,11.0,0.78,0.32,1.0,0.4,1.0,7.0,-0.46,0.6,7.3,-7.3,0.68,0.22,0
62,70.0,97.0,0.36,0.08,1.0,0.2,1.0,27.0,-0.28,0.8,29.32,-29.32,0.92,0.64,0
63,33.0,5.0,0.44,0.9,0.1,1.0,1.0,-28.0,0.46,-0.9,-27.5,27.5,0.1,0.56,0
64,19.0,48.0,0.32,0.2,1.0,1.0,1.0,29.0,-0.12,0.0,11.56,-11.56,0.8,0.68,0
65,48.0,51.0,0.26,0.38,0.4,1.0,1.0,3.0,0.12,-0.6,-4.98,4.98,0.62,0.74,1
66,5.0,42.0,0.64,0.08,1.0,0.8,1.0,37.0,-0.56,0.2,26.48,-26.48,0.92,0.36,0
67,39.0,42.0,0.56,0.68,1.0,1.0,1.0,3.0,0.12,0.0,-3.0,3.0,0.32,0.44,1
68,42.0,61.0,0.48,0.24,1.0,1.0,1.0,19.0,-0.24,0.0,19.2,-19.2,0.76,0.52,0
69,37.0,115.0,0.68,0.18,1.0,1.0,1.0,78.0,-0.5,0.0,71.54,-71.54,0.82,0.32,0
70,-16.0,-8.0,0.4,0.04,1.0,1.0,2.0,8.0,-0.36,0.0,-2.56,2.56,0.96,0.6,1
71,-98.0,-65.0,0.08,0.64,1.0,0.06,2.0,33.0,0.56,0.94,57.52,-57.52,0.36,0.92,0
72,-88.0,-74.0,0.32,0.24,0.02,1.0,2.0,14.0,-0.08,-0.98,-2.56,2.56,0.76,0.68,1
73,-15.0,-53.0,0.68,0.04,1.0,1.0,2.0,-38.0,-0.64,0.0,-35.44,35.44,0.96,0.32,0
74,-22.0,-23.0,0.3,0.34,1.0,1.0,2.0,-1.0,0.04,0.0,0.58,-0.58,0.66,0.7,1
75,106.0,44.0,0.38,0.72,1.0,1.0,1.0,-62.0,0.34,0.0,-59.6,59.6,0.28,0.62,0
76,11.0,19.0,0.5,0.5,1.0,1.0,1.0,8.0,0.0,0.0,4.0,-4.0,0.5,0.5,0
77,125.0,80.0,0.44,0.52,0.02,1.0,1.0,-45.0,0.08,-0.98,-29.8,29.8,0.48,0.56,0
78,16.0,38.0,0.6,0.26,1.0,1.0,1.0,22.0,-0.34,0.0,18.64,-18.64,0.74,0.4,0
79,97.0,70.0,0.08,0.36,0.02,1.0,1.0,-27.0,0.28,-0.98,-29.32,29.32,0.64,0.92,0
80,-68.0,-29.0,0.48,0.56,0.8,1.0,2.0,39.0,0.08,-0.2,24.16,-24.16,0.44,0.52,0
81,-94.0,-115.0,0.48,0.36,1.0,0.4,2.0,-21.0,-0.12,0.6,-21.36,21.36,0.64,0.52,0
82,-62.0,-134.0,0.8,0.74,1.0,1.0,2.0,-72.0,-0.06,0.0,-61.32,61.32,0.26,0.2,0
83,-27.0,-7.0,0.32,0.78,1.0,0.06,2.0,20.0,0.46,0.94,18.82,-18.82,0.22,0.68,0
84,-39.0,-34.0,0.12,0.24,1.0,1.0,2.0,5.0,0.12,0.0,5.28,-5.28,0.76,0.88,0
85,72.0,60.0,0.4,0.64,1.0,1.0,1.0,-12.0,0.24,0.0,-22.08,22.08,0.36,0.6,0
86,30.0,29.0,0.06,0.12,1.0,1.0,1.0,-1.0,0.06,0.0,-1.86,1.86,0.88,0.94,0
87,18.0,47.0,0.68,0.16,1.0,1.0,1.0,29.0,-0.52,0.0,29.08,-29.08,0.84,0.32,0
88,94.0,34.0,0.12,0.84,0.8,1.0,1.0,-60.0,0.72,-0.2,-74.88,74.88,0.16,0.88,0
89,116.0,42.0,0.06,0.76,1.0,1.0,1.0,-74.0,0.7,0.0,-85.64,85.64,0.24,0.94,0
90,25.0,16.0,0.1,0.56,0.06,1.0,1.0,-9.0,0.46,-0.94,-12.4,12.4,0.44,0.9,0
91,31.0,75.0,0.6,0.84,1.0,1.0,1.0,44.0,0.24,0.0,18.96,-18.96,0.16,0.4,1
92,74.0,60.0,0.12,0.16,1.0,1.0,1.0,-14.0,0.04,0.0,-4.64,4.64,0.84,0.88,0
93,98.0,71.0,0.08,0.36,0.1,1.0,1.0,-27.0,0.28,-0.9,-29.6,29.6,0.64,0.92,0
94,25.0,55.0,0.72,0.48,1.0,1.0,1.0,30.0,-0.24,0.0,27.6,-27.6,0.52,0.28,0
95,-12.0,-134.0,0.94,0.28,1.0,1.0,2.0,-122.0,-0.66,0.0,-122.6,122.6,0.72,0.06,0
96,-11.0,-4.0,0.32,0.78,0.2,1.0,2.0,7.0,0.46,-0.8,7.3,-7.3,0.22,0.68,0
97,-13.0,-9.0,0.52,0.38,0.02,1.0,2.0,4.0,-0.14,-0.98,0.26,-0.26,0.62,0.48,1
98,-47.0,-99.0,0.84,0.36,0.4,1.0,2.0,-52.0,-0.48,-0.6,-66.24,66.24,0.64,0.16,0
