"trial_number","pl","pr","revealed_left","revealed_right","mag_left","mag_right","revealed_o_l","revealed_o_r","revealed_x_l","revealed_x_r","mag_ambig","mag_unambig","info_amb"
0,0.84,0.24,1,1,36,21,9,37,41,13,,,1
1,0.76,0.64,1,1,78,101,13,17,37,33,,,1
2,0.66,0.36,1,0.8,21,39,18,25,32,15,39,21,0.8
3,0.76,0.92,0.1,1,3,12,1,4,4,46,3,12,0.1
4,0.88,0.38,1,1,7,20,6,31,44,19,,,1
5,0.36,0.28,1,0.06,-74,-84,32,1,18,2,-84,-74,0.06
6,0.44,0.52,1,0.2,-68,-29,26,8,24,2,-29,-68,0.2
7,0.72,0.24,1,0.4,-7,-21,13,13,37,7,-21,-7,0.4
8,0.88,0.6,1,1,-17,-50,6,21,44,29,,,1
9,0.44,0.52,1,0.02,-68,-29,26,0,24,1,-29,-68,0.02
10,0.84,0.24,1,1,-36,-21,9,38,41,12,,,1
11,0.76,0.64,1,1,-78,-101,13,17,37,33,,,1
12,0.66,0.36,1,0.8,-21,-39,18,25,32,15,-39,-21,0.8
13,0.76,0.92,0.1,1,-3,-12,1,4,4,46,-3,-12,0.1
14,0.88,0.38,1,1,-7,-20,6,31,44,19,,,1
15,0.96,0.6,1,1,16,8,2,20,48,30,,,1
16,0.36,0.92,0.06,1,98,65,1,4,2,46,98,65,0.06
17,0.76,0.68,1,0.02,88,74,12,1,38,0,74,88,0.02
18,0.96,0.32,1,1,15,53,3,33,47,17,,,1
19,0.66,0.7,1,1,22,23,17,15,33,35,,,1
20,0.24,0.72,0.2,1,21,7,8,13,2,37,21,7,0.2
21,0.48,0.4,1,1,63,13,25,30,25,20,,,1
22,0.28,0.66,1,0.06,76,38,36,1,14,2,38,76,0.06
23,0.66,0.94,1,1,15,5,18,2,32,48,,,1
24,0.44,0.44,0.02,1,11,14,0,27,1,23,11,14,0.02
25,0.44,0.52,1,0.8,68,29,27,16,23,24,29,68,0.8
26,0.64,0.52,0.4,1,94,115,12,25,8,25,94,115,0.4
27,0.26,0.2,1,1,62,134,36,40,14,10,,,1
28,0.22,0.68,0.06,1,27,7,2,17,1,33,27,7,0.06
29,0.76,0.88,1,1,39,34,13,6,37,44,,,1
30,0.6,0.34,0.4,1,-54,-74,5,31,15,19,-54,-74,0.4
31,0.64,0.4,1,1,-93,-127,19,30,31,20,,,1
32,0.36,0.66,0.02,1,-39,-21,1,16,0,34,-39,-21,0.02
33,0.48,0.62,0.2,1,-9,-13,5,20,5,30,-9,-13,0.2
34,0.04,0.48,1,1,-125,-63,48,25,2,25,,,1
35,0.36,0.28,1,0.06,74,84,32,2,18,1,84,74,0.06
36,0.44,0.52,1,0.2,68,29,26,8,24,2,29,68,0.2
37,0.72,0.24,1,0.4,7,21,13,13,37,7,21,7,0.4
38,0.88,0.6,1,1,17,50,6,21,44,29,,,1
39,0.44,0.52,1,0.02,68,29,26,0,24,1,29,68,0.02
40,0.36,0.56,0.1,1,74,107,3,22,2,28,74,107,0.1
41,0.92,0.68,1,1,33,7,3,17,47,33,,,1
42,0.62,0.48,1,0.8,13,9,18,22,32,18,9,13,0.8
43,0.38,0.36,1,0.06,40,51,31,2,19,1,51,40,0.06
44,0.64,0.38,0.8,1,38,81,15,32,25,18,38,81,0.8
45,0.36,0.56,0.1,1,-74,-107,3,22,2,28,-74,-107,0.1
46,0.92,0.68,1,1,-33,-7,3,17,47,33,,,1
47,0.62,0.48,1,0.8,-13,-9,18,22,32,18,-9,-13,0.8
48,0.38,0.36,1,0.06,-40,-51,31,2,19,1,-51,-40,0.06
49,0.64,0.38,0.8,1,-38,-81,15,32,25,18,-38,-81,0.8
50,0.48,0.62,0.8,1,-9,-13,20,20,20,30,-9,-13,0.8
51,0.88,0.16,0.2,1,-34,-94,3,41,7,9,-34,-94,0.2
52,0.74,0.38,1,1,-28,-40,13,31,37,19,,,1
53,0.28,0.68,1,1,-62,-22,37,15,13,35,,,1
54,0.2,0.38,1,1,-118,-32,39,31,11,19,,,1
55,0.52,0.92,1,0.4,-115,-5,23,4,27,16,-5,-115,0.4
56,0.76,0.56,1,1,-77,-118,12,23,38,27,,,1
57,0.86,0.92,1,1,-29,-25,6,4,44,46,,,1
58,0.68,0.84,0.4,1,-91,-84,7,8,13,42,-91,-84,0.4
59,0.44,0.48,1,1,-144,-114,28,26,22,24,,,1
60,0.64,0.38,0.2,1,38,81,3,31,7,19,38,81,0.2
61,0.68,0.22,0.4,1,4,11,5,39,15,11,4,11,0.4
62,0.92,0.64,0.2,1,70,97,1,18,9,32,70,97,0.2
63,0.1,0.56,1,0.1,33,5,46,1,4,4,5,33,0.1
64,0.8,0.68,1,1,19,48,10,16,40,34,,,1
65,0.62,0.74,1,0.4,48,51,20,5,30,15,51,48,0.4
66,0.92,0.36,0.8,1,5,42,4,31,36,19,5,42,0.8
67,0.32,0.44,1,1,39,42,34,27,16,23,,,1
68,0.76,0.52,1,1,42,61,12,25,38,25,,,1
69,0.82,0.32,1,1,37,115,10,33,40,17,,,1
70,0.96,0.6,1,1,-16,-8,2,20,48,30,,,1
71,0.36,0.92,0.06,1,-98,-65,1,4,2,46,-98,-65,0.06
72,0.76,0.68,1,0.02,-88,-74,12,1,38,0,-74,-88,0.02
73,0.96,0.32,1,1,-15,-53,3,33,47,17,,,1
74,0.66,0.7,1,1,-22,-23,17,15,33,35,,,1
75,0.28,0.62,1,1,106,44,36,18,14,32,,,1
76,0.5,0.5,1,1,11,19,24,26,26,24,,,1
77,0.48,0.56,1,0.02,125,80,27,1,23,0,80,125,0.02
78,0.74,0.4,1,1,16,38,13,30,37,20,,,1
79,0.64,0.92,1,0.02,97,70,19,0,31,1,70,97,0.02
80,0.44,0.52,1,0.8,-68,-29,27,15,23,25,-29,-68,0.8
81,0.64,0.52,0.4,1,-94,-115,12,25,8,25,-94,-115,0.4
82,0.26,0.2,1,1,-62,-134,36,40,14,10,,,1
83,0.22,0.68,0.06,1,-27,-7,2,17,1,33,-27,-7,0.06
84,0.76,0.88,1,1,-39,-34,13,6,37,44,,,1
85,0.36,0.6,1,1,72,60,31,20,19,30,,,1
86,0.88,0.94,1,1,30,29,6,4,44,46,,,1
87,0.84,0.32,1,1,18,47,8,33,42,17,,,1
88,0.16,0.88,1,0.8,94,34,41,5,9,35,34,94,0.8
89,0.24,0.94,1,1,116,42,37,4,13,46,,,1
90,0.44,0.9,1,0.06,25,16,26,1,24,2,16,25,0.06
91,0.16,0.4,1,1,31,75,42,30,8,20,,,1
92,0.84,0.88,1,1,74,60,8,7,42,43,,,1
93,0.64,0.92,1,0.1,98,71,18,0,32,5,71,98,0.1
94,0.52,0.28,1,1,25,55,24,36,26,14,,,1
95,0.72,0.06,1,1,-12,-134,14,46,36,4,,,1
96,0.22,0.68,1,0.2,-11,-4,39,2,11,8,-4,-11,0.2
97,0.62,0.48,1,0.02,-13,-9,20,0,30,1,-9,-13,0.02
98,0.64,0.16,1,0.4,-47,-99,19,17,31,3,-99,-47,0.4
99,0.3,0.46,1,0.1,-60,-40,35,3,15,2,-40,-60,0.1
100,0.42,0.26,1,0.4,-33,-60,28,18,22,2,-60,-33,0.4
101,0.88,0.16,0.02,1,-34,-94,0,42,1,8,-34,-94,0.02
102,0.96,0.68,0.1,1,-72,-89,0,16,5,34,-72,-89,0.1
103,0.48,0.24,1,1,-11,-14,26,37,24,13,,,1
104,0.04,0.92,1,1,-125,-5,48,4,2,46,,,1
105,0.56,0.08,0.8,1,5,56,19,46,21,4,5,56,0.8
106,0.88,0.3,1,0.2,26,73,6,5,44,5,73,26,0.2
107,0.44,0.72,1,1,11,42,27,13,23,37,,,1
108,0.64,0.68,1,1,23,7,17,16,33,34,,,1
109,0.72,0.8,1,1,47,24,13,11,37,39,,,1
110,0.82,0.2,1,1,-37,-100,10,39,40,11,,,1
111,0.76,0.8,1,1,-39,-75,12,9,38,41,,,1
112,0.44,0.52,1,1,-136,-29,28,24,22,26,,,1
113,0.4,0.56,0.1,1,-87,-55,4,21,1,29,-87,-55,0.1
114,0.32,0.9,1,0.8,-85,-35,33,6,17,34,-35,-85,0.8
115,0.62,0.9,1,0.8,55,42,19,6,31,34,42,55,0.8
116,0.96,0.48,1,1,31,31,3,25,47,25,,,1
117,0.7,0.56,1,1,5,12,14,22,36,28,,,1
118,0.64,0.38,0.02,1,38,81,1,31,0,19,38,81,0.02
119,0.84,0.42,1,1,7,14,9,27,41,23,,,1
120,0.86,0.42,1,0.2,-20,-44,7,1,43,9,-44,-20,0.2
121,0.72,0.84,1,0.06,-42,-71,14,0,36,3,-71,-42,0.06
122,0.58,0.58,1,1,-15,-17,21,21,29,29,,,1
123,0.22,0.42,1,1,-130,-68,38,28,12,22,,,1
124,0.92,0.64,0.8,1,-70,-97,3,19,37,31,-70,-97,0.8
125,0.68,0.96,1,1,7,5,16,2,34,48,,,1
126,0.92,0.76,0.4,1,74,78,1,12,19,38,74,78,0.4
127,0.58,0.92,0.06,1,16,15,1,4,2,46,16,15,0.06
128,0.28,0.36,0.02,1,84,74,0,32,1,18,84,74,0.02
129,0.52,0.64,1,0.2,115,94,24,3,26,7,94,115,0.2
130,0.88,0.3,1,0.4,-16,-46,7,15,43,5,-46,-16,0.4
131,0.76,0.8,1,1,-96,-86,12,10,38,40,,,1
132,0.32,0.36,1,1,-29,-48,33,32,17,18,,,1
133,0.12,0.88,0.06,1,-125,-17,2,7,1,43,-125,-17,0.06
134,0.8,0.56,1,1,-38,-27,10,23,40,27,,,1
135,0.84,0.92,1,1,6,5,8,4,42,46,,,1
136,0.88,0.16,1,1,34,94,7,41,43,9,,,1
137,0.6,0.34,0.2,1,54,74,5,31,5,19,54,74,0.2
