"trial_number","ml","mr","pr","pl","rr","rl","revealed_o_l","revealed_x_l","revealed_o_r","revealed_x_r","mag_left","mag_right","info_amb"
0,36,21,0.24,0.84,1,1,9,41,37,13,36,21,1
1,78,101,0.64,0.76,1,1,13,37,17,33,78,101,1
2,21,68,0.36,0.66,0.8,1,18,32,25,15,21,68,0.8
3,8,12,0.92,0.76,1,0.1,1,4,4,46,8,12,0.1
4,7,20,0.38,0.88,1,1,6,44,31,19,7,20,1
5,-74,-84,0.28,0.36,0.06,1,32,18,1,2,-74,-84,0.06
6,-68,-45,0.52,0.44,0.2,1,26,24,8,2,-68,-45,0.2
7,-7,-21,0.4,0.6,0.4,1,20,30,10,10,-7,-21,0.4
8,-17,-50,0.6,0.88,1,1,6,44,21,29,-17,-50,1
9,-68,-29,0.52,0.44,0.02,1,26,24,0,1,-68,-29,0.02
10,-36,-21,0.24,0.84,1,1,9,41,38,12,-36,-21,1
11,-78,-101,0.64,0.76,1,1,13,37,17,33,-78,-101,1
12,-21,-60,0.36,0.6,0.8,1,20,30,25,15,-21,-60,0.8
13,-3,-12,0.92,0.76,1,0.1,1,4,4,46,-3,-12,0.1
14,-7,-20,0.38,0.88,1,1,6,44,31,19,-7,-20,1
15,16,8,0.6,0.96,1,1,2,48,20,30,16,8,1
16,98,90,0.92,0.36,1,0.06,1,2,4,46,98,90,0.06
17,88,80,0.68,0.76,0.02,1,12,38,1,0,88,80,0.02
18,15,53,0.32,0.96,1,1,3,47,33,17,15,53,1
19,22,23,0.7,0.66,1,1,17,33,15,35,22,23,1
20,40,7,0.72,0.24,1,0.2,8,2,13,37,40,7,0.2
21,63,13,0.4,0.48,1,1,25,25,30,20,63,13,1
22,88,38,0.66,0.28,0.06,1,36,14,1,2,88,38,0.06
23,15,5,0.94,0.66,1,1,18,32,2,48,15,5,1
24,11,14,0.44,0.44,1,0.02,0,1,27,23,11,14,0.02
25,68,45,0.6,0.44,0.8,1,27,23,20,30,68,45,0.8
26,94,100,0.52,0.64,1,0.4,12,8,25,25,94,100,0.4
27,62,134,0.2,0.26,1,1,36,14,40,10,62,134,1
28,27,15,0.6,0.22,1,0.06,1,2,20,30,27,15,0.06
29,39,34,0.88,0.76,1,1,13,37,6,44,39,34,1
30,-54,-74,0.34,0.52,1,0.4,5,15,26,24,-54,-74,0.4
31,-93,-127,0.4,0.64,1,1,19,31,30,20,-93,-127,1
32,-39,-21,0.66,0.36,1,0.02,1,0,16,34,-39,-21,0.02
33,-9,-13,0.62,0.48,1,0.2,5,5,20,30,-9,-13,0.2
34,-125,-63,0.48,0.04,1,1,48,2,25,25,-125,-63,1
35,100,84,0.28,0.36,0.06,1,32,18,2,1,100,84,0.06
36,68,40,0.52,0.44,0.2,1,26,24,8,2,68,40,0.2
37,7,21,0.24,0.6,0.4,1,20,30,13,7,7,21,0.4
38,17,50,0.6,0.88,1,1,6,44,21,29,17,50,1
39,68,50,0.52,0.44,0.02,1,26,24,0,1,68,50,0.02
40,74,98,0.56,0.36,1,0.1,3,2,22,28,74,98,0.1
41,33,7,0.68,0.92,1,1,3,47,17,33,33,7,1
42,13,9,0.48,0.62,0.8,1,18,32,22,18,13,9,0.8
43,40,51,0.36,0.38,0.06,1,31,19,2,1,40,51,0.06
44,38,45,0.48,0.5,1,0.8,20,20,26,24,38,45,0.8
45,-74,-98,0.6,0.36,1,0.1,3,2,20,30,-74,-98,0.1
46,-33,-7,0.68,0.92,1,1,3,47,17,33,-33,-7,1
47,-13,-9,0.48,0.76,0.8,1,12,38,22,18,-13,-9,0.8
48,-40,-51,0.36,0.38,0.06,1,31,19,2,1,-40,-51,0.06
49,-38,-45,0.48,0.5,1,0.8,19,21,26,24,-38,-45,0.8
50,-9,-13,0.7,0.48,1,0.8,20,20,15,35,-9,-13,0.8
51,-60,-94,0.16,0.88,1,0.2,3,7,41,9,-60,-94,0.2
52,-28,-40,0.38,0.74,1,1,13,37,31,19,-28,-40,1
53,-62,-22,0.68,0.28,1,1,37,13,15,35,-62,-22,1
54,-118,-32,0.38,0.2,1,1,39,11,31,19,-118,-32,1
55,-115,-5,0.92,0.52,0.4,1,23,27,4,16,-115,-5,0.4
56,-77,-118,0.56,0.76,1,1,12,38,23,27,-77,-118,1
57,-29,-25,0.92,0.86,1,1,6,44,4,46,-29,-25,1
58,-91,-84,0.6,0.68,1,0.4,7,13,20,30,-91,-84,0.4
59,-144,-114,0.48,0.44,1,1,28,22,26,24,-144,-114,1
60,60,81,0.38,0.64,1,0.2,3,7,31,19,60,81,0.2
61,4,11,0.22,0.68,1,0.4,5,15,39,11,4,11,0.4
62,80,97,0.64,0.92,1,0.2,1,9,18,32,80,97,0.2
63,33,20,0.56,0.1,0.1,1,46,4,1,4,33,20,0.1
64,19,48,0.68,0.8,1,1,10,40,16,34,19,48,1
65,48,51,0.74,0.62,0.4,1,20,30,5,15,48,51,0.4
66,39,42,0.5,0.3,1,0.8,25,15,25,25,39,42,0.8
67,39,42,0.44,0.32,1,1,34,16,27,23,39,42,1
68,42,61,0.52,0.76,1,1,12,38,25,25,42,61,1
69,37,115,0.32,0.82,1,1,10,40,33,17,37,115,1
70,-16,-8,0.6,0.96,1,1,2,48,20,30,-16,-8,1
71,-98,-80,0.88,0.36,1,0.06,1,2,6,44,-98,-80,0.06
72,-88,-74,0.68,0.76,0.02,1,12,38,1,0,-88,-74,0.02
73,-15,-53,0.32,0.96,1,1,3,47,33,17,-15,-53,1
74,-22,-23,0.7,0.66,1,1,17,33,15,35,-22,-23,1
75,106,44,0.62,0.28,1,1,36,14,18,32,106,44,1
76,11,19,0.5,0.5,1,1,24,26,26,24,11,19,1
77,125,80,0.56,0.48,0.02,1,27,23,0,1,125,80,0.02
78,16,38,0.4,0.74,1,1,13,37,30,20,16,38,1
79,97,70,0.92,0.64,0.02,1,19,31,0,1,97,70,0.02
80,-68,-35,0.8,0.44,0.8,1,27,23,10,40,-68,-35,0.8
81,-94,-115,0.52,0.64,1,0.4,12,8,25,25,-94,-115,0.4
82,-62,-134,0.2,0.26,1,1,36,14,40,10,-62,-134,1
83,-27,-25,0.64,0.22,1,0.06,2,1,16,32,-27,-25,0.06
84,-39,-34,0.88,0.76,1,1,13,37,6,44,-39,-34,1
85,72,60,0.6,0.36,1,1,31,19,20,30,72,60,1
