trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right
0,36.0,21.0,0.24,0.84,1.0,1.0,9.0,41.0,37.0,13.0,36.0,21.0
1,78.0,101.0,0.64,0.76,1.0,1.0,13.0,37.0,17.0,33.0,78.0,101.0
2,21.0,68.0,0.36,0.66,0.8,1.0,18.0,32.0,25.0,15.0,21.0,68.0
3,8.0,12.0,0.92,0.76,1.0,0.1,1.0,4.0,4.0,46.0,8.0,12.0
4,7.0,20.0,0.38,0.88,1.0,1.0,6.0,44.0,31.0,19.0,7.0,20.0
5,-16.0,-38.0,0.4,0.74,1.0,1.0,13.0,37.0,30.0,20.0,-16.0,-38.0
6,-97.0,-70.0,0.92,0.64,0.02,1.0,19.0,31.0,0.0,1.0,-97.0,-70.0
7,-33.0,-60.0,0.26,0.42,0.4,1.0,28.0,22.0,17.0,3.0,-33.0,-60.0
8,-5.0,-25.0,0.6,0.96,1.0,1.0,3.0,47.0,20.0,30.0,-5.0,-25.0
9,-87.0,-55.0,0.8,0.4,1.0,0.1,4.0,1.0,10.0,40.0,-87.0,-55.0
10,-63.0,-13.0,0.4,0.48,1.0,1.0,25.0,25.0,30.0,20.0,-63.0,-13.0
11,-12.0,-134.0,0.06,0.72,1.0,1.0,14.0,36.0,46.0,4.0,-12.0,-134.0
12,-68.0,-50.0,0.52,0.44,0.02,1.0,26.0,24.0,0.0,1.0,-68.0,-50.0
13,-60.0,-50.0,0.46,0.3,0.1,1.0,35.0,15.0,3.0,2.0,-60.0,-50.0
14,-60.0,-81.0,0.38,0.64,1.0,0.2,3.0,7.0,31.0,19.0,-60.0,-81.0
15,16.0,8.0,0.6,0.96,1.0,1.0,2.0,48.0,20.0,30.0,16.0,8.0
16,98.0,90.0,0.92,0.36,1.0,0.06,1.0,2.0,4.0,46.0,98.0,90.0
17,88.0,80.0,0.68,0.76,0.02,1.0,12.0,38.0,1.0,0.0,88.0,80.0
18,15.0,53.0,0.32,0.96,1.0,1.0,3.0,47.0,33.0,17.0,15.0,53.0
19,22.0,23.0,0.7,0.66,1.0,1.0,17.0,33.0,15.0,35.0,22.0,23.0
20,40.0,7.0,0.72,0.24,1.0,0.2,8.0,2.0,13.0,37.0,40.0,7.0
21,63.0,13.0,0.4,0.48,1.0,1.0,25.0,25.0,30.0,20.0,63.0,13.0
22,88.0,38.0,0.66,0.28,0.06,1.0,36.0,14.0,1.0,2.0,88.0,38.0
23,15.0,5.0,0.94,0.66,1.0,1.0,18.0,32.0,2.0,48.0,15.0,5.0
24,11.0,14.0,0.44,0.44,1.0,0.02,0.0,1.0,27.0,23.0,11.0,14.0
25,68.0,45.0,0.6,0.44,0.8,1.0,27.0,23.0,20.0,30.0,68.0,45.0
26,94.0,100.0,0.52,0.64,1.0,0.4,12.0,8.0,25.0,25.0,94.0,100.0
27,62.0,134.0,0.2,0.26,1.0,1.0,36.0,14.0,40.0,10.0,62.0,134.0
28,27.0,15.0,0.6,0.22,1.0,0.06,1.0,2.0,20.0,30.0,27.0,15.0
29,39.0,34.0,0.88,0.76,1.0,1.0,13.0,37.0,6.0,44.0,39.0,34.0
30,-63.0,-8.0,0.8,0.48,1.0,0.1,3.0,2.0,10.0,40.0,-63.0,-8.0
31,-80.0,-97.0,0.64,0.92,1.0,0.2,1.0,9.0,18.0,32.0,-80.0,-97.0
32,-42.0,-61.0,0.52,0.76,1.0,1.0,12.0,38.0,25.0,25.0,-42.0,-61.0
33,-98.0,-80.0,0.92,0.64,0.1,1.0,18.0,32.0,0.0,5.0,-98.0,-80.0
34,-11.0,-8.0,0.68,0.22,0.2,1.0,39.0,11.0,2.0,8.0,-11.0,-8.0
35,100.0,84.0,0.28,0.36,0.06,1.0,32.0,18.0,2.0,1.0,100.0,84.0
36,68.0,40.0,0.52,0.44,0.2,1.0,26.0,24.0,8.0,2.0,68.0,40.0
37,7.0,21.0,0.24,0.6,0.4,1.0,20.0,30.0,13.0,7.0,7.0,21.0
38,17.0,50.0,0.6,0.88,1.0,1.0,6.0,44.0,21.0,29.0,17.0,50.0
39,68.0,50.0,0.52,0.44,0.02,1.0,26.0,24.0,0.0,1.0,68.0,50.0
40,74.0,98.0,0.56,0.36,1.0,0.1,3.0,2.0,22.0,28.0,74.0,98.0
41,33.0,7.0,0.68,0.92,1.0,1.0,3.0,47.0,17.0,33.0,33.0,7.0
42,13.0,9.0,0.48,0.62,0.8,1.0,18.0,32.0,22.0,18.0,13.0,9.0
43,40.0,51.0,0.36,0.38,0.06,1.0,31.0,19.0,2.0,1.0,40.0,51.0
44,38.0,45.0,0.48,0.5,1.0,0.8,20.0,20.0,26.0,24.0,38.0,45.0
45,-55.0,-100.0,0.9,0.62,0.8,1.0,19.0,31.0,6.0,34.0,-55.0,-100.0
46,-7.0,-45.0,0.22,0.68,0.02,1.0,16.0,34.0,1.0,0.0,-7.0,-45.0
47,-9.0,-18.0,0.68,0.96,1.0,0.4,0.0,20.0,17.0,33.0,-9.0,-18.0
