id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number
77666,A27BPRHBM28XZS,0,3/10/17 8:43,1.48914E+12,X,2642,5000,0.16,0.76,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,36,21,36,FALSE,combined,9,37,41,13,0
77667,A27BPRHBM28XZS,1,3/10/17 8:43,1.48914E+12,X,2638,5000,0.24,0.36,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,78,101,101,FALSE,combined,13,17,37,33,0
77669,A27BPRHBM28XZS,2,3/10/17 8:44,1.48914E+12,O,1518,5000,0.34,0.64,left,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,21,39,0,FALSE,combined,18,25,32,15,0
77670,A27BPRHBM28XZS,3,3/10/17 8:44,1.48914E+12,X,1592,5000,0.24,0.08,right,0.1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,3,12,12,FALSE,combined,1,4,4,46,0
77672,A27BPRHBM28XZS,4,3/10/17 8:44,1.48914E+12,X,1397,5000,0.12,0.62,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,7,20,7,FALSE,combined,6,31,44,19,0
77674,A27BPRHBM28XZS,5,3/10/17 8:44,1.48914E+12,O,4854,5101,0.64,0.72,right,1,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-74,-84,0,FALSE,combined,32,1,18,2,0
77675,A27BPRHBM28XZS,6,3/10/17 8:44,1.48914E+12,X,1768,5101,0.56,0.48,right,1,0.2,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-68,-29,-29,FALSE,combined,26,8,24,2,0
77677,A27BPRHBM28XZS,7,3/10/17 8:44,1.48914E+12,O,1121,5101,0.28,0.76,right,1,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-7,-21,0,FALSE,combined,13,13,37,7,0
77678,A27BPRHBM28XZS,8,3/10/17 8:44,1.48914E+12,X,2931,5101,0.12,0.4,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-17,-50,-17,FALSE,combined,6,21,44,29,0
77680,A27BPRHBM28XZS,9,3/10/17 8:45,1.48914E+12,X,4975,5101,0.56,0.48,left,1,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-68,-29,-68,FALSE,combined,26,0,24,1,0
77682,A27BPRHBM28XZS,10,3/10/17 8:45,1.48914E+12,X,1551,5033,0.16,0.76,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-36,-21,-21,FALSE,combined,9,38,41,12,0
77683,A27BPRHBM28XZS,11,3/10/17 8:45,1.48914E+12,X,3211,5033,0.24,0.36,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-78,-101,-78,FALSE,combined,13,17,37,33,0
77685,A27BPRHBM28XZS,12,3/10/17 8:45,1.48914E+12,X,1630,5033,0.34,0.64,right,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-21,-39,-39,FALSE,combined,18,25,32,15,0
77686,A27BPRHBM28XZS,13,3/10/17 8:45,1.48914E+12,X,1808,5033,0.24,0.08,left,0.1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-3,-12,-3,FALSE,combined,1,4,4,46,0
77688,A27BPRHBM28XZS,14,3/10/17 8:45,1.48914E+12,O,2785,5033,0.12,0.62,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-7,-20,0,FALSE,combined,6,31,44,19,0
77689,A27BPRHBM28XZS,15,3/10/17 8:46,1.48914E+12,X,1869,5033,0.04,0.4,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,16,8,16,FALSE,combined,2,20,48,30,0
77690,A27BPRHBM28XZS,16,3/10/17 8:46,1.48914E+12,X,1772,5033,0.64,0.08,right,0.06,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,98,65,65,FALSE,combined,1,4,2,46,0
77691,A27BPRHBM28XZS,17,3/10/17 8:46,1.48914E+12,X,1572,5033,0.24,0.32,left,1,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,88,74,88,FALSE,combined,12,1,38,0,0
77692,A27BPRHBM28XZS,18,3/10/17 8:46,1.48914E+12,X,2996,5033,0.04,0.68,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,15,53,15,FALSE,combined,3,33,47,17,0
77693,A27BPRHBM28XZS,19,3/10/17 8:46,1.48914E+12,X,2228,5033,0.34,0.3,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,22,23,23,FALSE,combined,17,15,33,35,0
77694,A27BPRHBM28XZS,20,3/10/17 8:46,1.48914E+12,O,1590,5098,0.76,0.28,right,0.2,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,21,7,0,FALSE,combined,8,13,2,37,0
77695,A27BPRHBM28XZS,21,3/10/17 8:46,1.48914E+12,X,1728,5098,0.52,0.6,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,63,13,63,FALSE,combined,25,30,25,20,0
77696,A27BPRHBM28XZS,22,3/10/17 8:46,1.48914E+12,X,2168,5098,0.72,0.34,left,1,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,76,38,76,FALSE,combined,36,1,14,2,0
77698,A27BPRHBM28XZS,23,3/10/17 8:47,1.48914E+12,X,1500,5098,0.34,0.06,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,15,5,5,FALSE,combined,18,2,32,48,0
77699,A27BPRHBM28XZS,24,3/10/17 8:47,1.48914E+12,O,2035,5098,0.56,0.56,left,0.02,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,11,14,0,FALSE,combined,0,27,1,23,0
77701,A27BPRHBM28XZS,25,3/10/17 8:47,1.48914E+12,O,1622,5161,0.56,0.48,left,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,68,29,0,FALSE,combined,27,16,23,24,0
77703,A27BPRHBM28XZS,26,3/10/17 8:47,1.48914E+12,X,2174,5161,0.36,0.48,right,0.4,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,94,115,115,FALSE,combined,12,25,8,25,0
