Scenario - subjective stimulus intensity
Logfile written - 10/10/2017 23:31:12

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

vp13	1	Picture	present_text	10500	0	1	25499	1	0	next	false_alarm	2
vp13	1	Response	3	35739	25239	1
vp13	2	Picture	VAS	35998	0	1	1167	1	0	next	other	0
vp13	3	Picture	VAS	37165	0	1	1167	1	0	next	other	0
vp13	4	Picture	VAS	38331	0	1	1167	1	0	next	other	0
vp13	5	Picture	VAS	39498	0	1	1167	1	0	next	other	0
vp13	6	Picture	VAS	40665	0	1	1167	1	0	next	other	0
vp13	7	Picture	VAS	41831	0	1	1167	1	0	next	other	0
vp13	8	Picture	VAS	42998	0	1	1167	1	0	next	other	0
vp13	9	Picture	VAS	44165	0	1	1167	1	0	next	other	0
vp13	10	Picture	VAS	45331	0	1	1167	1	0	next	other	0
vp13	11	Picture	VAS	46498	0	1	1167	1	0	next	other	0
vp13	12	Picture	VAS	47664	0	1	1167	1	0	next	other	0
vp13	13	Picture	VAS	48831	0	1	1167	1	0	next	other	0
vp13	14	Picture	VAS	49998	0	1	1167	1	0	next	other	0
vp13	15	Picture	VAS	51164	0	1	1167	1	0	next	other	0
vp13	16	Picture	VAS	52331	0	1	1167	1	0	next	other	0
vp13	17	Picture	VAS	53497	0	1	1167	1	0	next	other	0
vp13	18	Picture	VAS	54664	0	1	1167	1	0	next	other	0
vp13	19	Picture	VAS	55831	0	1	1167	1	0	next	other	0
vp13	20	Picture	VAS	56997	0	1	1167	1	0	next	other	0
vp13	21	Picture	VAS	58164	0	1	1167	1	0	next	other	0
vp13	22	Picture	VAS	59330	0	1	1167	1	0	next	other	0
vp13	23	Picture	VAS	60497	0	1	1167	1	0	next	other	0
vp13	24	Picture	VAS	61664	0	1	1167	1	0	next	other	0
vp13	25	Picture	VAS	62830	0	1	1167	1	0	next	other	0
vp13	26	Picture	VAS	63997	0	1	1167	1	0	next	other	0
vp13	27	Picture	VAS	65164	0	1	1167	1	0	next	other	0
vp13	28	Picture	VAS	66330	0	1	1167	1	0	next	other	0
vp13	29	Picture	VAS	67497	0	1	1167	1	0	next	other	0
vp13	30	Picture	VAS	68663	0	1	1167	1	0	next	other	0
vp13	31	Picture	VAS	69830	0	1	1167	1	0	next	other	0
vp13	32	Picture	VAS	70997	0	1	1167	1	0	next	other	0
vp13	33	Picture	VAS	72163	0	1	1167	1	0	next	other	0
vp13	34	Picture	VAS	73330	0	1	1167	1	0	next	other	0
vp13	35	Picture	VAS	74496	0	1	1167	1	0	next	other	0
vp13	36	Picture	VAS	75663	0	1	1167	1	0	next	other	0
vp13	37	Picture	VAS	76830	0	1	1167	1	0	next	other	0
vp13	38	Picture	VAS	77996	0	1	1167	1	0	next	other	0
vp13	39	Picture	VAS	79163	0	1	1167	1	0	next	other	0
vp13	40	Picture	VAS	80329	0	1	1167	1	0	next	other	0
vp13	41	Picture	VAS	81496	0	1	1167	1	0	next	other	0
vp13	42	Picture	VAS	82663	0	1	1167	1	0	next	other	0
vp13	43	Picture	VAS	83829	0	1	1167	1	0	next	other	0
vp13	44	Picture	VAS	84996	0	1	1167	1	0	next	other	0
