Scanner Trigger at times:	0	3000	6000	9000	12000	15000																																													
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10014	13580	13597	14614	Not shocked this trial	No picture this trial	16629	blah_de_blah_de_blah	1	3550	bet_right	Nothing yet	1	0	0	5	74	0	1	0	0	74	Not fifth trial	blah	3333333	15001	31629	25014	25030	28580	28597	29614	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	1	1399	1417	2433	Not shocked this trial	No picture this trial	4449	blah_de_blah_de_blah	2	1382	bet_left	Nothing yet	1	0	0	4	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	38095	33647	33663	35045	35063	36080	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	33646
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	1	999	1017	2033	Not shocked this trial	No picture this trial	4049	blah_de_blah_de_blah	3	982	bet_right	Nothing yet	1	0	0	3	13	1	1	0	1	13	Not fifth trial	blah	3333333	Not_first_trial	44161	40113	40129	41111	41129	42145	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	40112
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	1	1533	1550	2567	Not shocked this trial	No picture this trial	4582	blah_de_blah_de_blah	4	1516	bet_right	Nothing yet	1	1	0	2	31	2	1	0	1	31	Not fifth trial	blah	3333333	Not_first_trial	50760	46179	46195	47711	47728	48745	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	46178
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	1	866	883	1900	7949	5934	11965	7961	5	849	bet_right	Nothing yet	1	0	1	3	2	3	1	0	1	2	13	blah	3333333	Not_first_trial	64742	52778	52794	53643	53661	54677	56693	58711	60726	60738	52777
90	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	1	1199	1217	2233	Not shocked this trial	No picture this trial	4249	blah_de_blah_de_blah	6	1182	bet_right	Nothing yet	0	0	1	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	71008	66760	66776	67958	67976	68992	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	66759
90	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	1	1766	1783	2800	Not shocked this trial	No picture this trial	4816	blah_de_blah_de_blah	7	1749	bet_right	Nothing yet	1	1	1	2	25	1	0	0	1	25	Not fifth trial	blah	3333333	Not_first_trial	77841	73026	73042	74791	74808	75825	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	73025
40	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	1	1767	1784	2801	Not shocked this trial	No picture this trial	4816	blah_de_blah_de_blah	8	1750	bet_left	Nothing yet	0	1	1	4	54	1	1	0	1	54	Not fifth trial	blah	3333333	Not_first_trial	84673	79858	79874	81624	81641	82658	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	79857
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	1	3066	3083	4100	Not shocked this trial	No picture this trial	6116	blah_de_blah_de_blah	9	3049	bet_right	Nothing yet	1	1	1	3	9	2	1	0	1	9	Not fifth trial	blah	3333333	Not_first_trial	92806	86691	86707	89756	89773	90790	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	86690
40	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	1	2900	2917	3934	9982	7967	13999	9983	10	2883	bet_left	Nothing yet	1	1	0	1	45	3	1	0	1	45	0	blah	3333333	Not_first_trial	108821	94823	94839	97722	97739	98756	100771	102789	104804	104805	94822
