Scanner Trigger at times:	0	3000	6000	9000	12000	15000	15000
br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10014	13246	13263	14281	Not shocked this trial	No picture this trial	16296	blah_de_blah_de_blah	1	3216	bet_right	Nothing yet	1	1	0	1	74	0	1	0	0	74	Not fifth trial	blah	3333333	15001	31296	25014	25030	28246	28263	29281	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	1	2166	2183	3200	Not shocked this trial	No picture this trial	5216	blah_de_blah_de_blah	2	2149	bet_left	Nothing yet	0	0	0	2	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	38529	33314	33330	35479	35496	36513	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	33313
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	1	2233	2250	3267	Not shocked this trial	No picture this trial	5283	blah_de_blah_de_blah	3	2216	bet_right	Nothing yet	0	0	0	5	0	0	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	45828	40546	40562	42778	42795	43812	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	40545
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	1	2233	2250	3267	Not shocked this trial	No picture this trial	5283	blah_de_blah_de_blah	4	2216	bet_right	Nothing yet	0	1	0	5	0	0	1	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	53127	47845	47861	50077	50094	51111	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	47844
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	2	2000	2017	3034	9083	7068	13099	9083	5	1982	bet_right	Nothing yet	0	1	0	5	0	0	1	0	4	0	0	blah	3333333	Not_first_trial	68242	55145	55161	57143	57160	58177	60193	62211	64226	64226	55143
40	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	1	2399	2416	3433	Not shocked this trial	No picture this trial	5449	blah_de_blah_de_blah	6	2382	bet_left	Nothing yet	0	0	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	75708	70260	70276	72658	72675	73692	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	70259
40	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	2	2967	2984	4001	Not shocked this trial	No picture this trial	6016	blah_de_blah_de_blah	7	2950	bet_left	Nothing yet	1	1	0	3	29	1	0	0	1	29	Not fifth trial	blah	3333333	Not_first_trial	83740	77726	77741	80691	80708	81725	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	77724
90	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	1	3299	3317	4333	Not shocked this trial	No picture this trial	6349	blah_de_blah_de_blah	8	3282	bet_right	Nothing yet	1	1	0	2	132	1	0	1	1	132	Not fifth trial	blah	3333333	Not_first_trial	92106	85758	85774	89056	89074	90090	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	85757
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	1	3366	3383	4400	Not shocked this trial	No picture this trial	6415	blah_de_blah_de_blah	9	3349	bet_right	Nothing yet	1	1	0	2	9	2	0	1	1	9	Not fifth trial	blah	3333333	Not_first_trial	100538	94124	94140	97489	97506	98523	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	94123
40	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	1	2933	2950	3967	10015	8000	14032	10016	10	2916	bet_left	Nothing yet	1	0	0	1	0	2	0	1	2	0	0	blah	3333333	Not_first_trial	116587	102556	102572	105488	105505	106522	108538	110555	112570	112571	102555
40	0.3	0.5	1	0.8	39	42	3000	8000	1000	2000	2000	0	0	0	2	2533	2550	3567	Not shocked this trial	No picture this trial	5583	blah_de_blah_de_blah	11	2516	bet_left	Nothing yet	1	0	0	5	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	124186	118605	118620	121136	121153	122170	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	118603
90	0.74	0.38	1	1	28	40	3000	8000	1000	2000	2000	0	0	0	2	1700	1717	2734	Not shocked this trial	No picture this trial	4750	blah_de_blah_de_blah	12	1683	bet_right	Nothing yet	0	1	0	3	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	130952	126204	126219	127902	127919	128936	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	126202
40	0.04	0.48	1	1	125	63	3000	8000	1000	2000	2000	0	0	0	2	1067	1084	2101	Not shocked this trial	No picture this trial	4116	blah_de_blah_de_blah	13	1050	bet_left	Nothing yet	0	0	0	4	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	137084	132970	132985	134035	134052	135069	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	132968
90	0.8	0.68	1	1	19	48	3000	8000	1000	2000	2000	0	0	0	1	3000	3017	4034	Not shocked this trial	No picture this trial	6049	blah_de_blah_de_blah	14	2983	bet_right	Nothing yet	1	1	0	5	48	1	0	0	3	48	Not fifth trial	blah	3333333	Not_first_trial	145150	139102	139118	142101	142118	143135	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	139101
90	0.82	0.32	1	1	37	115	3000	8000	1000	2000	2000	2000	2000	4000	1	2366	2383	3400	9449	7433	13465	9449	15	2349	bet_right	Nothing yet	0	1	0	2	0	1	0	0	4	0	0	blah	3333333	Not_first_trial	160632	147168	147184	149533	149550	150567	152583	154600	156616	156616	147167
90	0.42	0.26	0.4	1	33	60	3000	8000	1000	2000	2000	0	0	0	2	1933	1951	2968	Not shocked this trial	No picture this trial	4983	blah_de_blah_de_blah	16	1916	bet_right	Nothing yet	0	0	0	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	167631	162650	162665	164581	164599	165616	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	162648
40	0.48	0.62	1	0.2	9	13	3000	8000	1000	2000	2000	0	0	0	1	3133	3150	4167	Not shocked this trial	No picture this trial	6182	blah_de_blah_de_blah	17	3116	bet_left	Nothing yet	0	1	0	1	9	1	0	0	1	9	Not fifth trial	blah	3333333	Not_first_trial	175830	169649	169665	172781	172798	173815	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	169648
40	0.86	0.42	0.2	1	20	44	3000	8000	1000	2000	2000	0	0	0	1	3933	3950	4967	Not shocked this trial	No picture this trial	6982	blah_de_blah_de_blah	18	3916	bet_left	Nothing yet	0	1	0	2	20	2	0	0	1	20	Not fifth trial	blah	3333333	Not_first_trial	184829	177848	177864	181780	181797	182814	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	177847
40	0.56	0.48	1	0.1	30	63	3000	8000	1000	2000	2000	0	0	0	1	3333	3350	4367	Not shocked this trial	No picture this trial	6382	blah_de_blah_de_blah	19	3316	bet_left	Nothing yet	0	1	0	2	30	3	0	0	1	30	Not fifth trial	blah	3333333	Not_first_trial	193228	186847	186863	190179	190196	191213	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	186846
40	0.4	0.8	1	0.1	87	55	3000	8000	1000	2000	2000	2000	2000	4000	1	2100	2117	3134	9182	7167	13198	9194	20	2083	bet_left	Nothing yet	1	1	1	3	87	3	1	0	1	87	20	blah	3333333	Not_first_trial	208443	195246	195262	197345	197362	198379	200394	202412	204427	204439	195245
90	0.64	0.92	0.02	1	97	70	3000	8000	1000	2000	2000	0	0	0	1	5766	5783	6800	Not shocked this trial	No picture this trial	8816	blah_de_blah_de_blah	21	5749	bet_right	Nothing yet	1	1	1	3	70	0	1	0	0	70	Not fifth trial	blah	3333333	Not_first_trial	219276	210461	210477	216226	216243	217260	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	210460
40	0.28	0.66	0.06	1	88	38	3000	8000	1000	2000	2000	0	0	0	1	1666	1684	2700	Not shocked this trial	No picture this trial	4716	blah_de_blah_de_blah	22	1649	bet_left	Nothing yet	1	0	1	2	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	226008	221293	221309	222958	222976	223992	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	221292
40	0.26	0.48	1	1	8	9	3000	8000	1000	2000	2000	0	0	0	1	1633	1650	2667	Not shocked this trial	No picture this trial	4682	blah_de_blah_de_blah	23	1616	bet_left	Nothing yet	1	0	1	1	0	0	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	232707	228026	228042	229658	229675	230692	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	228025
40	0.88	0.94	1	1	30	29	3000	8000	1000	2000	2000	0	0	0	1	2666	2683	3700	Not shocked this trial	No picture this trial	5716	blah_de_blah_de_blah	24	2649	bet_left	Nothing yet	0	1	1	4	30	1	1	0	2	30	Not fifth trial	blah	3333333	Not_first_trial	240440	234725	234741	237390	237407	238424	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	234724
40	0.44	0.64	0.06	1	11	8	3000	8000	1000	2000	2000	2000	2000	4000	2	1800	1817	2834	8883	6867	12932	8919	25	1783	bet_left	Nothing yet	1	1	3	1	11	2	1	0	2	11	70	blah	3333333	Not_first_trial	255388	242458	242473	244256	244273	245290	247306	249323	251339	251375	242456
40	0.72	0.84	0.06	1	42	71	3000	8000	1000	2000	2000	0	0	0	1	2566	2583	3600	Not shocked this trial	No picture this trial	5616	blah_de_blah_de_blah	26	2549	bet_left	Nothing yet	1	1	3	4	42	1	0	0	0	42	Not fifth trial	blah	3333333	Not_first_trial	263021	257406	257422	259971	259988	261005	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	257405
90	0.6	0.34	1	0.2	54	74	3000	8000	1000	2000	2000	0	0	0	2	3567	3584	4601	Not shocked this trial	No picture this trial	6616	blah_de_blah_de_blah	27	3550	bet_right	Nothing yet	0	0	3	4	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	271653	265039	265054	268604	268621	269638	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	265037
40	0.62	0.74	0.4	1	48	51	3000	8000	1000	2000	2000	0	0	0	1	2733	2750	3767	Not shocked this trial	No picture this trial	5782	blah_de_blah_de_blah	28	2716	bet_left	Nothing yet	1	0	3	3	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	279452	273671	273687	276403	276420	277437	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	273670
