Scanner Trigger at times:	0	3000	6000	9000	12000	15000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10016	11581	11599	12617	Not shocked this trial	No picture this trial	14631	blah_de_blah_de_blah	1	1548	bet_right	Nothing yet	0	0	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	15004	29631	25016	25033	26581	26599	27617	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	5	2066	2084	3102	Not shocked this trial	No picture this trial	5115	blah_de_blah_de_blah	2	2048	bet_left	Nothing yet	0	0	0	2	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	36763	31653	31666	33714	33732	34750	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	31648
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	6	1933	1952	2970	Not shocked this trial	No picture this trial	4983	blah_de_blah_de_blah	3	1914	bet_right	Nothing yet	0	1	0	4	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	43763	38786	38799	40713	40732	41750	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	38780
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	5	2232	2251	3270	Not shocked this trial	No picture this trial	5282	blah_de_blah_de_blah	4	2214	bet_right	Nothing yet	1	1	0	2	31	1	0	0	3	31	Not fifth trial	blah	3333333	Not_first_trial	51062	45785	45798	48012	48031	49050	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	45780
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	5	1333	1351	2370	8416	6405	12432	8429	5	1315	bet_right	Nothing yet	1	1	1	5	2	2	0	0	3	2	2	blah	3333333	Not_first_trial	65511	53084	53097	54412	54431	55449	57462	59484	61495	61508	53079
90	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	5	1599	1618	2636	Not shocked this trial	No picture this trial	4649	blah_de_blah_de_blah	6	1581	bet_right	Nothing yet	1	1	1	3	7	1	0	0	0	7	Not fifth trial	blah	3333333	Not_first_trial	72177	67533	67546	69127	69146	70164	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	67528
90	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	6	2416	2435	3453	Not shocked this trial	No picture this trial	5466	blah_de_blah_de_blah	7	2381	bet_right	Nothing yet	1	1	1	3	25	2	0	0	0	25	Not fifth trial	blah	3333333	Not_first_trial	79660	74200	74229	76610	76629	77647	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	74194
90	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	5	1133	1151	2169	Not shocked this trial	No picture this trial	4182	blah_de_blah_de_blah	8	1115	bet_right	Nothing yet	1	1	1	4	132	2	0	1	0	132	Not fifth trial	blah	3333333	Not_first_trial	85859	81682	81695	82810	82828	83846	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	81677
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	5	1700	1718	2737	Not shocked this trial	No picture this trial	4749	blah_de_blah_de_blah	9	1681	bet_right	Nothing yet	0	0	1	5	0	2	0	1	1	0	Not fifth trial	blah	3333333	Not_first_trial	92625	87881	87895	89576	89594	90613	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	87876
40	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	5	2500	2518	3537	9582	7569	13615	9607	10	2481	bet_left	Nothing yet	1	1	2	5	45	3	0	1	1	45	45	blah	3333333	Not_first_trial	108258	94647	94661	97142	97160	98179	100192	102211	104224	104249	94642
