Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.22	0.42	1	1	130	68	3000	8000	1000	2000	2000	0	0	0	10016	11214	11233	12250	Not shocked this trial	No picture this trial	14264	blah_de_blah_de_blah	1	1181	bet_left	Nothing yet	1	0	0	4	0	0	0	0	1	0	Not fifth trial	blah	3333333	15003	29264	25016	25033	26214	26233	27250	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
90	0.84	0.32	1	1	18	47	3000	8000	1000	2000	2000	0	0	0	5	899	918	1936	Not shocked this trial	No picture this trial	3949	blah_de_blah_de_blah	2	881	bet_right	Nothing yet	0	1	0	2	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	35230	31286	31299	32180	32199	33217	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	31281
90	0.92	0.64	1	0.2	80	97	3000	8000	1000	2000	2000	0	0	0	6	766	785	1803	Not shocked this trial	No picture this trial	3816	blah_de_blah_de_blah	3	748	bet_right	Nothing yet	0	0	0	3	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	41063	37253	37265	38013	38032	39050	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	37247
90	0.36	0.92	1	0.06	98	90	3000	8000	1000	2000	2000	0	0	0	5	1733	1751	2769	Not shocked this trial	No picture this trial	4782	blah_de_blah_de_blah	4	1715	bet_right	Nothing yet	1	0	0	2	90	0	1	0	3	90	Not fifth trial	blah	3333333	Not_first_trial	47862	43085	43098	44813	44831	45849	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	43080
40	0.32	0.9	0.8	1	85	70	3000	8000	1000	2000	2000	2000	2000	4000	6	633	652	1670	7716	5702	11782	7777	5	614	bet_left	Nothing yet	1	1	5	4	85	0	2	0	3	85	90	blah	3333333	Not_first_trial	61661	49885	49898	50512	50531	51549	53562	55581	57595	57656	49879
90	0.84	0.88	1	1	74	60	3000	8000	1000	2000	2000	0	0	0	5	2066	2085	3103	Not shocked this trial	No picture this trial	5116	blah_de_blah_de_blah	6	2048	bet_right	Nothing yet	1	1	5	1	60	0	1	0	0	60	Not fifth trial	blah	3333333	Not_first_trial	68794	63683	63696	65744	65763	66781	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	63678
40	0.22	0.68	0.2	1	11	8	3000	8000	1000	2000	2000	0	0	0	5	733	751	1770	Not shocked this trial	No picture this trial	3783	blah_de_blah_de_blah	7	715	bet_left	Nothing yet	1	0	5	1	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	74594	70816	70829	71544	71562	72581	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	70811
90	0.64	0.38	1	0.2	60	81	3000	8000	1000	2000	2000	0	0	0	5	1100	1119	2137	Not shocked this trial	No picture this trial	4150	blah_de_blah_de_blah	8	1081	bet_right	Nothing yet	0	0	5	1	0	0	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	80760	76615	76629	77710	77729	78747	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	76610
40	0.56	0.88	1	1	114	78	3000	8000	1000	2000	2000	0	0	0	5	766	785	1803	Not shocked this trial	No picture this trial	3816	blah_de_blah_de_blah	9	748	bet_left	Nothing yet	1	0	5	1	0	0	1	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	86593	82782	82795	83543	83562	84580	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	82777
40	0.64	0.92	0.1	1	98	80	3000	8000	1000	2000	2000	2000	2000	4000	5	600	619	1637	7683	5669	11699	7684	10	581	bet_left	Nothing yet	1	1	0	3	98	0	2	0	3	98	0	blah	3333333	Not_first_trial	100308	88614	88628	89209	89228	90246	92259	94278	96292	96293	88609
40	0.32	0.36	1	1	29	48	3000	8000	1000	2000	2000	0	0	0	5	2465	2484	3502	Not shocked this trial	No picture this trial	5515	blah_de_blah_de_blah	11	2448	bet_left	Nothing yet	0	1	0	4	29	1	0	0	0	29	Not fifth trial	blah	3333333	Not_first_trial	107841	102331	102343	104791	104810	105828	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	102326
