Eyetracker File is:	Ambi_vp03_block1_1320240817.edfScanner Trigger at times:	45000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.84	0.24	1	1	36	21	3000	5000	1000	2000	2000	0	0	0	10019	13818	13835	14852	Not shocked this trial	No picture this trial	16867	blah_de_blah_de_blah	1	783	bet_right	Nothing yet	0	1	0	5	0	0	0	0	1	0	Not fifth trial	blah	3333333	47193	64058	57210	60226	61009	61026	62043	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	47191
40	0.76	0.64	1	1	78	101	3000	5000	1000	2000	2000	0	0	0	2	4866	4884	5900	Not shocked this trial	No picture this trial	7916	blah_de_blah_de_blah	2	1849	bet_left	Nothing yet	1	0	0	5	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	73991	66077	69092	70941	70959	71975	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	66075
40	0.66	0.36	0.8	1	21	68	3000	5000	1000	2000	2000	0	0	0	2	4133	4150	5167	Not shocked this trial	No picture this trial	7183	blah_de_blah_de_blah	3	1116	bet_left	Nothing yet	0	1	0	1	21	1	0	0	2	21	Not fifth trial	blah	3333333	Not_first_trial	83190	76009	79024	80140	80158	81174	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	76007
40	0.76	0.92	1	0.1	8	12	3000	5000	1000	2000	2000	0	0	0	2	4399	4417	5434	Not shocked this trial	No picture this trial	7449	blah_de_blah_de_blah	4	1382	bet_left	Nothing yet	1	1	0	4	8	2	0	0	2	8	Not fifth trial	blah	3333333	Not_first_trial	92655	85208	88223	89605	89623	90640	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	85206
90	0.88	0.38	1	1	7	20	3000	5000	1000	2000	2000	2000	2000	4000	1	4066	4083	5100	11148	9133	15164	11149	5	1050	bet_right	Nothing yet	1	1	0	2	20	3	0	0	2	20	0	blah	3333333	Not_first_trial	109836	94673	97688	98738	98755	99772	101787	103805	105820	105821	94672
90	0.96	0.6	1	1	16	8	3000	5000	1000	2000	2000	0	0	0	1	3499	3517	4534	Not shocked this trial	No picture this trial	6549	blah_de_blah_de_blah	6	482	bet_right	Nothing yet	1	1	0	1	8	1	0	0	0	8	Not fifth trial	blah	3333333	Not_first_trial	118402	111854	114870	115352	115370	116387	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	111853
90	0.36	0.92	1	0.06	98	90	3000	5000	1000	2000	2000	0	0	0	1	4699	4716	5733	Not shocked this trial	No picture this trial	7749	blah_de_blah_de_blah	7	1683	bet_right	Nothing yet	1	1	0	3	90	1	1	0	0	90	Not fifth trial	blah	3333333	Not_first_trial	128168	120420	123435	125118	125136	126152	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	120419
90	0.76	0.68	0.02	1	88	80	3000	5000	1000	2000	2000	0	0	0	2	4999	5017	6033	Not shocked this trial	No picture this trial	8049	blah_de_blah_de_blah	8	1982	bet_right	Nothing yet	1	0	0	1	80	1	2	0	0	80	Not fifth trial	blah	3333333	Not_first_trial	138233	130186	133201	135183	135201	136218	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	130184
40	0.96	0.32	1	1	15	53	3000	5000	1000	2000	2000	0	0	0	1	4199	4217	5233	Not shocked this trial	No picture this trial	7249	blah_de_blah_de_blah	9	1183	bet_left	Nothing yet	1	1	0	2	15	2	2	0	0	15	Not fifth trial	blah	3333333	Not_first_trial	147499	140251	143266	144449	144467	145483	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	140250
40	0.66	0.7	1	1	22	23	3000	5000	1000	2000	2000	2000	2000	4000	2	5099	5117	6134	12182	10167	16231	12218	10	2082	bet_left	Nothing yet	1	1	3	4	22	3	2	0	0	22	15	blah	3333333	Not_first_trial	165746	149517	152532	154614	154632	155649	157664	159682	161697	161733	149515
