Eyetracker File is:	Ambi_vp03_block2_1342240817.edfScanner Trigger at times:	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.44	0.9	0.06	1	25	16	3000	5000	1000	2000	2000	0	0	0	10014	13479	13497	14513	Not shocked this trial	No picture this trial	16529	blah_de_blah_de_blah	1	449	bet_left	Nothing yet	1	0	0	3	0	0	0	0	1	0	Not fifth trial	blah	3333333	15001	31529	25014	28030	28479	28497	29514	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.16	0.4	1	1	31	75	3000	5000	1000	2000	2000	0	0	0	1	3366	3383	4400	Not shocked this trial	No picture this trial	6415	blah_de_blah_de_blah	2	350	bet_left	Nothing yet	0	0	0	2	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	39961	33547	36562	36912	36929	37946	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	33546
90	0.84	0.88	1	1	74	60	3000	5000	1000	2000	2000	0	0	0	1	3666	3684	4700	Not shocked this trial	No picture this trial	6716	blah_de_blah_de_blah	3	649	bet_right	Nothing yet	0	1	0	2	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	48694	41979	44995	45644	45662	46678	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	41978
90	0.64	0.92	0.1	1	98	80	3000	5000	1000	2000	2000	0	0	0	2	3433	3450	4467	Not shocked this trial	No picture this trial	6483	blah_de_blah_de_blah	4	416	bet_right	Nothing yet	1	1	0	3	80	0	1	0	3	80	Not fifth trial	blah	3333333	Not_first_trial	57193	50712	53727	54143	54160	55177	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	50710
90	0.52	0.28	1	1	25	55	3000	5000	1000	2000	2000	2000	2000	4000	2	3700	3717	4734	10782	8767	14798	10782	5	683	bet_right	Nothing yet	0	0	0	1	0	0	1	0	4	0	0	blah	3333333	Not_first_trial	74007	59211	62226	62909	62926	63943	65958	67976	69991	69991	59209
40	0.56	0.4	1	0.8	25	56	3000	5000	1000	2000	2000	0	0	0	1	4233	4250	5267	Not shocked this trial	No picture this trial	7282	blah_de_blah_de_blah	6	1216	bet_left	Nothing yet	1	1	0	4	25	1	0	0	0	25	Not fifth trial	blah	3333333	Not_first_trial	83306	76025	79041	80257	80274	81291	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	76024
40	0.88	0.3	0.2	1	26	73	3000	5000	1000	2000	2000	0	0	0	1	3366	3383	4400	Not shocked this trial	No picture this trial	6416	blah_de_blah_de_blah	7	349	bet_left	Nothing yet	0	1	0	3	26	2	0	0	0	26	Not fifth trial	blah	3333333	Not_first_trial	91739	85324	88340	88689	88706	89723	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	85323
40	0.44	0.72	1	1	11	42	3000	5000	1000	2000	2000	0	0	0	1	3433	3450	4467	Not shocked this trial	No picture this trial	6483	blah_de_blah_de_blah	8	416	bet_left	Nothing yet	1	1	0	1	11	3	0	0	0	11	Not fifth trial	blah	3333333	Not_first_trial	100238	93756	96772	97188	97205	98222	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	93755
90	0.64	0.68	1	1	23	7	3000	5000	1000	2000	2000	0	0	0	1	5533	5550	6567	Not shocked this trial	No picture this trial	8582	blah_de_blah_de_blah	9	2516	bet_right	Nothing yet	1	1	0	2	7	4	0	0	0	7	Not fifth trial	blah	3333333	Not_first_trial	110836	102255	105271	107787	107804	108821	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	102254
90	0.72	0.8	1	1	47	24	3000	5000	1000	2000	2000	2000	2000	4000	1	5099	5117	6133	12182	10166	16214	12206	10	2082	bet_right	Nothing yet	1	0	2	3	24	5	0	0	0	24	11	blah	3333333	Not_first_trial	129067	112854	115870	117952	117970	118986	121002	123019	125035	125059	112853
40	0.62	0.9	0.8	1	55	100	3000	5000	1000	2000	2000	0	0	0	2	3633	3650	4667	Not shocked this trial	No picture this trial	6682	blah_de_blah_de_blah	11	616	bet_left	Nothing yet	1	1	2	4	55	0	1	0	0	55	Not fifth trial	blah	3333333	Not_first_trial	137766	131086	134101	134717	134734	135751	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	131084
