Eyetracker File is:	Ambi_vp03_block3_1353240817.edfScanner Trigger at times:	9000	12000	15000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.72	0.06	1	1	12	134	3000	5000	1000	2000	2000	0	0	0	10014	13946	13964	14980	Not shocked this trial	No picture this trial	16996	blah_de_blah_de_blah	1	916	bet_left	Nothing yet	0	1	0	1	12	1	0	0	0	12	Not fifth trial	blah	3333333	15001	31996	25014	28030	28946	28964	29980	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.22	0.68	0.2	1	11	8	3000	5000	1000	2000	2000	0	0	0	2	3500	3517	4534	Not shocked this trial	No picture this trial	6549	blah_de_blah_de_blah	2	483	bet_left	Nothing yet	1	0	0	2	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	40561	34014	37029	37512	37529	38546	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	34012
40	0.62	0.48	0.02	1	13	9	3000	5000	1000	2000	2000	0	0	0	1	3399	3417	4433	Not shocked this trial	No picture this trial	6449	blah_de_blah_de_blah	3	382	bet_left	Nothing yet	1	0	0	2	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	49027	42579	45595	45977	45995	47011	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	42578
40	0.64	0.16	0.4	1	47	99	3000	5000	1000	2000	2000	0	0	0	2	3433	3451	4467	Not shocked this trial	No picture this trial	6483	blah_de_blah_de_blah	4	416	bet_left	Nothing yet	0	1	0	2	47	2	0	0	2	47	Not fifth trial	blah	3333333	Not_first_trial	57526	51045	54060	54476	54494	55510	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	51043
40	0.3	0.46	0.1	1	60	50	3000	5000	1000	2000	2000	2000	2000	4000	2	3533	3551	4567	10616	8600	14632	10616	5	516	bet_left	Nothing yet	1	0	0	3	0	2	0	0	3	0	0	blah	3333333	Not_first_trial	74174	59544	62559	63075	63093	64109	66125	68142	70158	70158	59542
40	0.48	0.62	1	0.8	9	13	3000	5000	1000	2000	2000	0	0	0	1	3466	3483	4500	Not shocked this trial	No picture this trial	6515	blah_de_blah_de_blah	6	450	bet_left	Nothing yet	1	1	0	2	9	1	0	0	0	9	Not fifth trial	blah	3333333	Not_first_trial	82706	76192	79207	79657	79674	80691	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	76191
90	0.88	0.16	1	0.2	45	94	3000	5000	1000	2000	2000	0	0	0	1	3433	3450	4467	Not shocked this trial	No picture this trial	6482	blah_de_blah_de_blah	7	416	bet_right	Nothing yet	0	1	0	5	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	91205	84724	87740	88156	88173	89190	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	84723
90	0.74	0.38	1	1	28	40	3000	5000	1000	2000	2000	0	0	0	1	3466	3484	4500	Not shocked this trial	No picture this trial	6516	blah_de_blah_de_blah	8	449	bet_right	Nothing yet	0	1	0	4	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	99738	93223	96239	96688	96706	97722	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	93222
40	0.28	0.68	1	1	62	22	3000	5000	1000	2000	2000	0	0	0	2	4033	4050	5067	Not shocked this trial	No picture this trial	7083	blah_de_blah_de_blah	9	1016	bet_left	Nothing yet	0	1	0	3	62	1	1	0	2	62	Not fifth trial	blah	3333333	Not_first_trial	108837	101756	104771	105787	105804	106821	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	101754
90	0.2	0.38	1	1	118	32	3000	5000	1000	2000	2000	2000	2000	4000	2	3700	3717	4734	10782	8767	14815	10806	10	683	bet_right	Nothing yet	0	1	2	1	0	1	1	0	3	0	9	blah	3333333	Not_first_trial	125668	110855	113870	114553	114570	115587	117602	119620	121635	121659	110853
