Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.72	0.06	1	1	12	134	3000	5000	1000	2000	2000	0	0	0	10014	14446	14464	15480	Not shocked this trial	No picture this trial	17496	blah_de_blah_de_blah	1	1416	bet_right	Nothing yet	0	1	0	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	15001	32496	25014	28030	29446	29464	30480	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.22	0.68	0.2	1	11	8	3000	5000	1000	2000	2000	0	0	0	2	3600	3617	4634	Not shocked this trial	No picture this trial	6650	blah_de_blah_de_blah	2	583	bet_left	Nothing yet	1	1	0	2	11	1	0	0	1	11	Not fifth trial	blah	3333333	Not_first_trial	41162	34514	37529	38112	38129	39146	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	34512
90	0.62	0.48	0.02	1	13	9	3000	5000	1000	2000	2000	0	0	0	1	3433	3450	4467	Not shocked this trial	No picture this trial	6483	blah_de_blah_de_blah	3	416	bet_right	Nothing yet	0	1	0	5	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	49661	43179	46195	46611	46628	47645	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	43178
90	0.64	0.16	0.4	1	47	99	3000	5000	1000	2000	2000	0	0	0	1	3500	3517	4534	Not shocked this trial	No picture this trial	6549	blah_de_blah_de_blah	4	483	bet_right	Nothing yet	0	1	0	2	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	58226	51678	54694	55177	55194	56211	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	51677
40	0.3	0.46	0.1	1	60	50	3000	5000	1000	2000	2000	2000	2000	4000	1	3433	3450	4467	10515	8500	14532	10516	5	416	bet_left	Nothing yet	0	0	0	3	0	1	0	0	4	0	0	blah	3333333	Not_first_trial	74775	60244	63260	63676	63693	64710	66725	68743	70758	70759	60243
40	0.48	0.62	1	0.8	9	13	3000	5000	1000	2000	2000	0	0	0	1	3433	3450	4467	Not shocked this trial	No picture this trial	6483	blah_de_blah_de_blah	6	416	bet_left	Nothing yet	1	0	0	5	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	83274	76792	79808	80224	80241	81258	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	76791
90	0.88	0.16	1	0.2	45	94	3000	5000	1000	2000	2000	0	0	0	1	3966	3984	5000	Not shocked this trial	No picture this trial	7016	blah_de_blah_de_blah	7	949	bet_right	Nothing yet	0	1	0	4	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	92306	85291	88307	89256	89274	90290	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	85290
90	0.74	0.38	1	1	28	40	3000	5000	1000	2000	2000	0	0	0	1	3366	3383	4400	Not shocked this trial	No picture this trial	6415	blah_de_blah_de_blah	8	350	bet_right	Nothing yet	1	1	0	4	40	1	0	0	2	40	Not fifth trial	blah	3333333	Not_first_trial	100738	94324	97339	97689	97706	98723	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	94323
40	0.28	0.68	1	1	62	22	3000	5000	1000	2000	2000	0	0	0	1	4099	4117	5133	Not shocked this trial	No picture this trial	7149	blah_de_blah_de_blah	9	1082	bet_left	Nothing yet	1	0	0	3	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	109904	102756	105772	106854	106872	107888	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	102755
90	0.2	0.38	1	1	118	32	3000	5000	1000	2000	2000	2000	2000	4000	1	3366	3383	4400	10448	8433	14465	10449	10	350	bet_right	Nothing yet	0	0	0	4	0	1	0	0	4	0	0	blah	3333333	Not_first_trial	126386	111922	114937	115287	115304	116321	118337	120354	122369	122370	111921
