,MID,gain,se_gain,loss,se_loss,shock,se_shock,parameter,ambiguity
0,vp06,-1.75956270682,0.343866292919,0.111916062464,0.25354260985,-0.797270058519,0.305334936295,intercept,ambi
1,vp07,-0.940911010086,0.297428759318,-0.21521349116,0.264343195306,-1.15047781502,0.365375355983,intercept,ambi
2,vp10,-0.967022781294,0.302889344999,-0.898051457483,0.300877150742,-0.189710830288,0.290459811813,intercept,ambi
3,vp11,-2.52878526984,0.674109907698,-0.445782780473,0.30921197891,-1.12208934367,0.386948209151,intercept,ambi
4,vp12,-1.39515351812,0.349556811941,-0.697325769997,0.338744866544,-1.02286616042,0.29536438243,intercept,ambi
5,vp13,-1.3099406746,0.374202141323,-0.143657273248,0.251593082781,-0.607373308213,0.308043663426,intercept,ambi
6,vp15,-0.885203536286,0.285469336565,-0.164932776568,0.272495772699,-0.753717041253,0.295055459928,intercept,ambi
7,vp16,-0.501819992652,0.328519318739,-0.45642396774,0.280783231164,-2.00838254459,0.684263243193,intercept,ambi
8,vp17,-1.16601729805,0.361250367941,-0.0751853646932,0.26425084447,-1.92886680373,0.693916619222,intercept,ambi
9,vp18,-1.61995635405,0.423782427703,0.0924747225397,0.25995257723,-0.271222530856,0.261468140809,intercept,ambi
10,vp20,-0.407830980876,0.245852169429,0.591715694269,0.253503786736,-0.659844028676,0.25673727353,intercept,ambi
11,vp22,-1.91646790747,0.45999909903,-0.688880773157,0.318780820888,-1.92288036616,0.582914840924,intercept,ambi
12,vp23,-2.06134757365,0.509977463518,-0.282346965768,0.237820192383,-1.17723668884,0.296822531689,intercept,ambi
13,vp25,-1.29803638312,0.439638339794,-1.14234222952,0.488159065044,-1.5709817415,0.456946321692,intercept,ambi
14,vp26,-1.1208504218,0.369154730062,-0.667625732985,0.317451234533,-0.968331015791,0.378434102648,intercept,ambi
15,vp27,-1.52787181304,0.372645692428,-0.482580139984,0.296832040722,-1.8549240806,0.505930871574,intercept,ambi
16,vp28,-1.36465532554,0.294181553558,-0.771315773124,0.258553837351,-1.15421133695,0.303396895545,intercept,ambi
17,vp30,-1.58212514437,0.423855988546,-0.334333747843,0.255721381049,-0.774596046433,0.296383749039,intercept,ambi
0,vp06,0.0565887108884,0.249537082588,-0.108845485915,0.299512141451,0.45690027284,0.307154479541,intercept,unambi
1,vp07,-0.00461638215096,0.248674198311,0.269202147298,0.283398846572,3.67495757075,1.58821008473,intercept,unambi
2,vp10,0.0458931639156,0.278020564173,0.561542272097,0.392139264705,1.11030541515,0.364943893563,intercept,unambi
3,vp11,-0.970762686355,0.366701820878,-0.0770960387638,0.302676902211,0.850787638788,0.637721236386,intercept,unambi
