,MID,parameter,beta,se,task
1,vp06,intercept_r,-0.0610010370049,0.192275138247,loss
2,vp06,mag_diff_rl,1.96194272339,0.392618031585,loss
3,vp06,prob_diff_rl,-0.541789275875,0.261913340928,loss
4,vp06,sqrt_prop_revealed_diff_rl,0.0801127662886,0.191073697039,loss
5,vp07,intercept_r,0.233115264719,0.202123160062,loss
6,vp07,mag_diff_rl,2.04344296475,0.399511792774,loss
7,vp07,prob_diff_rl,-2.05580540899,0.380067265509,loss
8,vp07,sqrt_prop_revealed_diff_rl,-0.308063129792,0.202062807292,loss
9,vp10,intercept_r,0.326742943606,0.220157246108,loss
10,vp10,mag_diff_rl,1.20832233177,0.33996677842,loss
11,vp10,prob_diff_rl,-2.51331077516,0.431925773391,loss
12,vp10,sqrt_prop_revealed_diff_rl,-0.884993507945,0.248118790294,loss
13,vp11,intercept_r,-0.0564238937099,0.217010270032,loss
14,vp11,mag_diff_rl,1.60075836508,0.369970590331,loss
15,vp11,prob_diff_rl,-2.70140054573,0.447777731507,loss
16,vp11,sqrt_prop_revealed_diff_rl,-0.511244171649,0.23191504164,loss
17,vp12,intercept_r,0.161972838953,0.234920133971,loss
18,vp12,mag_diff_rl,0.364677233323,0.300673714966,loss
19,vp12,prob_diff_rl,-2.76272138907,0.471146745396,loss
20,vp12,sqrt_prop_revealed_diff_rl,-0.654542254035,0.253542294876,loss
21,vp13,intercept_r,-0.161086852714,0.193966929105,loss
22,vp13,mag_diff_rl,1.64994929672,0.348428680838,loss
23,vp13,prob_diff_rl,-1.81778059203,0.340120132378,loss
24,vp13,sqrt_prop_revealed_diff_rl,-0.245184917207,0.196874570746,loss
25,vp15,intercept_r,0.84001453932,0.238233384982,loss
26,vp15,mag_diff_rl,0.65659933141,0.29735733321,loss
27,vp15,prob_diff_rl,-2.38963647316,0.42033034205,loss
28,vp15,sqrt_prop_revealed_diff_rl,-0.387765067844,0.215999823059,loss
29,vp16,intercept_r,1.05793630222,0.3051813498,loss
30,vp16,mag_diff_rl,1.81493933868,0.469807047545,loss
31,vp16,prob_diff_rl,-4.172938087,0.700624938899,loss
32,vp16,sqrt_prop_revealed_diff_rl,-0.725359636412,0.272623809361,loss
33,vp17,intercept_r,-0.1617626608,0.194193015495,loss
34,vp17,mag_diff_rl,1.47599447047,0.330471593759,loss
35,vp17,prob_diff_rl,-1.86346968343,0.339628340413,loss
36,vp17,sqrt_prop_revealed_diff_rl,-0.157605904859,0.196432056987,loss
37,vp18,intercept_r,-0.195423833972,0.20361047781,loss
38,vp18,mag_diff_rl,1.09376407736,0.301662616803,loss
39,vp18,prob_diff_rl,-2.14553403734,0.365368284735,loss
40,vp18,sqrt_prop_revealed_diff_rl,-0.134586594854,0.206542801878,loss
41,vp19,intercept_r,0.27394846139,0.166579491146,loss
42,vp19,mag_diff_rl,-0.152013851316,0.211725526005,loss
43,vp19,prob_diff_rl,0.345569328589,0.214206808083,loss
44,vp19,sqrt_prop_revealed_diff_rl,0.0857715900906,0.167325281952,loss
45,vp20,intercept_r,0.241710979925,0.217113251947,loss
46,vp20,mag_diff_rl,0.908165195968,0.310523364233,loss
47,vp20,prob_diff_rl,-2.48191339966,0.420345752515,loss
48,vp20,sqrt_prop_revealed_diff_rl,0.405160923422,0.21814219619,loss
49,vp22,intercept_r,0.734667707018,0.223433920655,loss
50,vp22,mag_diff_rl,1.25424199991,0.342044487323,loss
51,vp22,prob_diff_rl,-2.19742780083,0.400810922662,loss
52,vp22,sqrt_prop_revealed_diff_rl,-0.768544500598,0.226078050445,loss
53,vp23,intercept_r,0.211549296863,0.187125267172,loss
54,vp23,mag_diff_rl,0.83811419271,0.267597547175,loss
55,vp23,prob_diff_rl,-1.48434390286,0.29558209036,loss
56,vp23,sqrt_prop_revealed_diff_rl,-0.309555844245,0.188733694589,loss
57,vp25,intercept_r,-0.590152197704,0.292039780654,loss
58,vp25,mag_diff_rl,1.36594901933,0.442198354206,loss
59,vp25,prob_diff_rl,-4.57076444988,0.800362910915,loss
60,vp25,sqrt_prop_revealed_diff_rl,-1.23208557616,0.379650810142,loss
61,vp26,intercept_r,0.0679936815646,0.223519842882,loss
62,vp26,mag_diff_rl,1.31908528697,0.35228761131,loss
63,vp26,prob_diff_rl,-2.83045494037,0.466051023683,loss
64,vp26,sqrt_prop_revealed_diff_rl,-0.618410849684,0.243539728854,loss
65,vp27,intercept_r,0.00855749935688,0.190428620116,loss
66,vp27,mag_diff_rl,1.21480953102,0.301179400693,loss
67,vp27,prob_diff_rl,-1.63692280696,0.317184356546,loss
68,vp27,sqrt_prop_revealed_diff_rl,-0.50967910539,0.200399806129,loss
69,vp28,intercept_r,0.663572318441,0.198080684903,loss
70,vp28,mag_diff_rl,0.869516635828,0.277885624935,loss
71,vp28,prob_diff_rl,-1.29810398241,0.300383888192,loss
72,vp28,sqrt_prop_revealed_diff_rl,-0.745200681618,0.207795426076,loss
73,vp29,intercept_r,-0.108278139047,0.165483961828,loss
74,vp29,mag_diff_rl,0.270727394197,0.215113364694,loss
75,vp29,prob_diff_rl,0.0462517288887,0.209824478788,loss
76,vp29,sqrt_prop_revealed_diff_rl,0.092507844765,0.165253339054,loss
77,vp30,intercept_r,0.247901396344,0.192369609176,loss
78,vp30,mag_diff_rl,0.263663358636,0.247582703815,loss
79,vp30,prob_diff_rl,-1.4557778597,0.295197564322,loss
80,vp30,sqrt_prop_revealed_diff_rl,-0.353547509864,0.194473939286,loss
81,vp31,intercept_r,0.0312787661494,0.178437102348,loss
82,vp31,mag_diff_rl,0.669369226327,0.243520387354,loss
83,vp31,prob_diff_rl,-0.880587460933,0.244419661087,loss
84,vp31,sqrt_prop_revealed_diff_rl,0.604793343784,0.191191431457,loss
85,vp32,intercept_r,-0.0334755451275,0.180425404483,loss
86,vp32,mag_diff_rl,0.786730037846,0.254740979739,loss
87,vp32,prob_diff_rl,-1.18445535104,0.269083290899,loss
88,vp32,sqrt_prop_revealed_diff_rl,-0.450932570644,0.18844206024,loss
89,vp33,intercept_r,-0.234530328591,0.17890220258,loss
