,MID,bic,aic,pseudoR2,pred_acc,task
0,vp06,184.79222201379062,175.76031613150187,0.1826818815762753,0.7933333333333333,loss
1,vp07,170.99953628271479,161.96763040042603,0.24754007524933874,0.7866666666666666,loss
2,vp10,153.37953951756484,144.34763363527608,0.3304752690278939,0.7733333333333333,loss
3,vp11,131.09843652205626,122.0665306397675,0.44155147804635864,0.8466666666666667,loss
4,vp12,133.3850959908941,124.35319010860532,0.43018363270436677,0.8133333333333334,loss
5,vp13,177.30379808679743,168.27189220450867,0.21712540298349958,0.74,loss
6,vp15,155.92542705104606,146.8935211687573,0.2927715083895811,0.7866666666666666,loss
7,vp16,134.31099417064675,125.279088288358,0.40922723861824983,0.8133333333333334,loss
8,vp17,155.02345314136227,145.9915472590735,0.3246160831843774,0.82,loss
9,vp18,161.04506618725333,152.01316030496457,0.29556503914558563,0.8066666666666666,loss
10,vp19,218.51013823626386,209.4782323539751,0.008726561556102186,0.56,loss
11,vp20,149.4890005351985,140.45709465290975,0.3503958692066016,0.7733333333333333,loss
12,vp22,166.812946917884,157.78104103559525,0.2417396983495519,0.7,loss
13,vp23,177.61374021093243,168.58183432864368,0.2145164861364247,0.7066666666666667,loss
14,vp25,123.60637097171741,114.57446508942864,0.47353811366021326,0.8266666666666667,loss
15,vp26,132.79995208623714,123.76804620394837,0.43358277330677253,0.8333333333333334,loss
16,vp27,171.5613657299182,162.52945984762945,0.24725241508265627,0.7466666666666667,loss
17,vp28,182.68274342019214,173.65083753790339,0.1541832795848288,0.66,loss
18,vp29,216.38728726540688,207.35538138311813,0.029693447541613405,0.5933333333333334,loss
19,vp30,169.8218719245797,160.78996604229096,0.2509036284288053,0.74,loss
20,vp31,191.06815104655112,182.03624516426237,0.1533360279174979,0.7066666666666667,loss
21,vp32,181.16298116875743,172.13107528646867,0.20097593562547766,0.74,loss
22,vp33,186.59259031239984,177.56068443011108,0.1681270409904586,0.7533333333333333,loss
23,vp34,164.8182654346003,155.78635955231155,0.2773613823070561,0.7333333333333333,loss
24,vp35,140.79207779426304,131.76017191197428,0.39397736476531753,0.8133333333333334,loss
25,vp36,130.3494699594473,121.31756407715854,0.4330911424762104,0.8133333333333334,loss
26,vp37,152.4985386721672,143.46663278987845,0.33858591726400067,0.7466666666666667,loss
27,vp38,207.83384116972496,198.8019352874362,0.06513128609216601,0.6733333333333333,loss
28,vp39,151.58726955459724,142.5553636723085,0.3432232861585771,0.7866666666666666,loss
29,vp40,168.40960579360043,159.37769991131168,0.26155667027289664,0.7733333333333333,loss
0,vp06,196.55190412468463,187.51999824239587,0.12662527117217381,0.66,gain
1,vp07,190.94473086942693,181.91282498713818,0.14702414054898572,0.6866666666666666,gain
2,vp10,171.66575158792585,162.6338457056371,0.24198028797759585,0.76,gain
3,vp11,163.75491058921173,154.72300470692298,0.27347934845378963,0.74,gain
4,vp12,186.71128162432325,177.6793757420345,0.17429082826231412,0.68,gain
5,vp13,172.9637069650808,163.93180108279205,0.23963076034644304,0.72,gain
6,vp15,175.3808758307215,166.34896994843274,0.22640246856687407,0.6866666666666666,gain
