,MID,bic,aic,pseudoR2,pred_acc,task
0,vp06,180.07333864590038,168.03079746951536,0.2295250547465194,0.7466666666666667,loss
1,vp07,169.92312216538724,157.88058098900223,0.27690681455488764,0.7666666666666667,loss
2,vp10,151.06885192390357,139.02631074751855,0.3659063538103655,0.82,loss
3,vp11,151.5376097044608,139.4950685280758,0.36731781109569484,0.82,loss
4,vp12,135.43860676852245,123.39606559213742,0.444420831955763,0.8133333333333334,loss
5,vp13,178.25984644433896,166.21730526795395,0.23668660406953368,0.7533333333333333,loss
6,vp15,149.05589945849889,137.01335828211387,0.35240512112570765,0.8266666666666667,loss
7,vp16,113.60906621187533,101.56652503549032,0.5365779940027724,0.8533333333333334,loss
8,vp17,178.1966151092349,166.15407393284988,0.23699166125051496,0.7266666666666667,loss
9,vp18,167.45564679903057,155.41310562264556,0.28881105599092194,0.8,loss
10,vp19,222.27220372518508,210.22966254880006,0.014809148718349596,0.5533333333333333,loss
11,vp20,152.17539911509763,140.13285793871262,0.36162498117262787,0.84,loss
12,vp22,158.43236042593503,146.38981924955002,0.3086389092238101,0.7733333333333333,loss
13,vp23,189.83267940029637,177.79013822391136,0.17969092339116655,0.7066666666666667,loss
14,vp25,101.71131538487657,89.66877420849154,0.6039999194152434,0.8933333333333333,loss
15,vp26,145.07689719145057,133.03435601506555,0.3986347276851344,0.8266666666666667,loss
16,vp27,183.72830874444367,171.68576756805865,0.21283784955152762,0.7066666666666667,loss
17,vp28,180.91819912862573,168.87565795224072,0.1883647979209565,0.7466666666666667,loss
18,vp29,223.99997583803676,211.95743466165175,0.01715447625281985,0.6266666666666667,loss
19,vp30,182.46775903482288,170.42521785843786,0.21395330420723813,0.7733333333333333,loss
20,vp31,202.2113891980602,190.1688480216752,0.12384065956527779,0.7266666666666667,loss
21,vp32,198.66361109389226,186.62106991750724,0.1409040540891685,0.7266666666666667,loss
22,vp33,200.8857196964265,188.84317852004148,0.12311756897051773,0.7,loss
23,vp34,171.0062845395252,158.9637433631402,0.2716811387114827,0.7533333333333333,loss
24,vp35,143.2475098685682,131.20496869218317,0.4062905714449476,0.8,loss
25,vp36,117.8363231340235,105.79378195763849,0.5192392273787485,0.86,loss
26,vp37,155.09679545199634,143.05425427561133,0.3501929602957806,0.78,loss
27,vp38,213.02288552771714,200.98034435133212,0.06426620633108782,0.6533333333333333,loss
28,vp39,143.45817326487054,131.41563208848552,0.4064201427177282,0.8,loss
29,vp40,133.33423273227294,121.29169155588792,0.454552428473496,0.8266666666666667,loss
0,vp06,179.50889641098897,167.46635523460395,0.23273531231417133,0.74,gain
1,vp07,193.5871127449274,181.54457156854238,0.1585074590351293,0.74,gain
2,vp10,168.15969618418166,156.11715500779664,0.2831962806072691,0.7533333333333333,gain
3,vp11,116.27664332879237,104.23410215240736,0.5298907338880774,0.84,gain
4,vp12,171.50156814619308,159.45902696980806,0.27154262315496236,0.78,gain
5,vp13,158.28467087337975,146.24212969699474,0.334427503991497,0.7866666666666666,gain
6,vp15,170.9928793131848,158.9503381367998,0.2717458117181667,0.72,gain
7,vp16,94.72527747338148,82.68273629699645,0.634065292178938,0.8933333333333333,gain
8,vp17,152.57302905102634,140.53048787464132,0.3619264416333189,0.82,gain
9,vp18,131.94110325893809,119.89856208255307,0.4324114713459821,0.8533333333333334,gain
10,vp19,204.84615462917571,192.8036134527907,0.1056544566144012,0.64,gain
11,vp20,197.32054876297846,185.27800758659345,0.14747299198715214,0.68,gain
12,vp22,130.75872757935974,118.71618640297473,0.4619654160807751,0.8133333333333334,gain
13,vp23,124.87323950997947,112.83069833359446,0.4956121440257333,0.8466666666666667,gain
14,vp25,129.64065262348353,117.59811144709852,0.4726739654474329,0.86,gain
15,vp26,164.32887650496465,152.28633532857964,0.30173529314934167,0.78,gain
16,vp27,149.45878510730884,137.41624393092383,0.37635920819121194,0.8,gain
17,vp28,183.44981977736802,171.407278600983,0.201745804218189,0.7533333333333333,gain
18,vp29,219.34032258616665,207.29778140978163,0.03551083617740858,0.6133333333333333,gain
19,vp30,153.1126489683208,141.07010779193578,0.3499446732881849,0.82,gain
20,vp31,188.5443382630644,176.50179708667937,0.18967764320723102,0.72,gain
21,vp32,199.76600810632144,187.72346692993642,0.13393495423472057,0.6866666666666666,gain
22,vp33,102.55067353606199,90.50813235967698,0.6030160950668586,0.9133333333333333,gain
23,vp34,187.33357879211837,175.29103761573336,0.1955001654887082,0.6933333333333334,gain
24,vp35,145.7683867164521,133.7258455400671,0.3915576240836366,0.7733333333333333,gain
25,vp36,150.16200642101722,138.1194652446322,0.3713523087960615,0.76,gain
26,vp37,130.58216485430182,118.53962367791681,0.4659486258952228,0.8066666666666666,gain
27,vp38,167.96841568169725,155.92587450531224,0.2878047109478119,0.7466666666666667,gain
28,vp39,169.88563066624747,157.84308948986245,0.2760613327639455,0.7133333333333334,gain
29,vp40,118.47759241958389,106.43505124319887,0.5216466213355854,0.8666666666666667,gain
0,vp06,168.44916505129964,156.40662387491463,0.2848469279295357,0.7466666666666667,shock
1,vp07,114.57577928496127,102.53323810857624,0.5425122992748597,0.86,shock
2,vp10,167.62615225228384,155.58361107589883,0.28438840370192975,0.7466666666666667,shock
3,vp11,107.12474187080153,95.08220069441651,0.5807391147609311,0.8866666666666667,shock
4,vp12,150.46948786151694,138.42694668513192,0.37148875725883834,0.7933333333333333,shock
5,vp13,124.86869836398384,112.82615718759882,0.4958280862001988,0.86,shock
6,vp15,126.7225843271288,114.68004315074377,0.4859221334206233,0.84,shock
7,vp16,84.47157371057074,72.42903253418572,0.6898037371589822,0.8933333333333333,shock
8,vp17,121.14861407885985,109.10607290247484,0.5115250498659737,0.9066666666666666,shock
9,vp18,197.13709135934607,185.09455018296106,0.14835523560860142,0.6933333333333334,shock
10,vp19,138.3568660245994,126.3143248482144,0.4298579761745688,0.8466666666666667,shock
11,vp20,176.5395815288981,164.4970403525131,0.24264234893837355,0.7733333333333333,shock
12,vp22,114.47738019203518,102.43483901565017,0.525975302494457,0.8733333333333333,shock
13,vp23,150.66785757007486,138.62531639368984,0.3698031091978512,0.8333333333333334,shock
14,vp25,103.87147963032862,91.8289384539436,0.5926262501736059,0.8933333333333333,shock
15,vp26,123.690401246232,111.64786006984697,0.5014952243346111,0.8266666666666667,shock
16,vp27,102.65575899095734,90.61321781457231,0.5994204488925077,0.8666666666666667,shock
