,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_o_unambig,prob_o_ambig,revealed_o_ambig,revealed_x_ambig,prob_o_ambig_bayes,MID
0,1.0,0.33999999999999997,0.24,0.48,0.29,1.0,12.0,50.0,1.0,1.0,0,0.0,shock,0.29,0.48,0.33999999999999997,0.24,12.0,38.0,0.25,S1
1,0.0,0.54,0.16000000000000003,0.64,0.38,1.0,8.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.38,0.64,0.54,0.16000000000000003,8.000000000000002,42.0,0.1730769230769231,S1
2,1.0,0.88,0.12,1.24,0.05,0.4,3.0,20.0,0.6324555320336759,1.0,1,0.0,shock,0.05,1.24,0.88,0.12,3.0,17.0,0.18181818181818182,S1
3,0.0,0.24,0.12,0.2,0.06,0.8,5.0,40.0,0.8944271909999159,0.0,1,0.0,shock,0.06,0.2,0.24,0.12,5.0,35.0,0.14285714285714285,S1
4,1.0,0.4,0.28,0.07,0.08,1.0,14.000000000000002,50.0,1.0,1.0,0,0.0,shock,0.08,0.07,0.4,0.28,14.000000000000002,36.0,0.2884615384615385,S1
5,0.0,0.07999999999999996,0.07999999999999996,0.64,0.64,0.2,1.0,10.0,0.4472135954999579,0.0,1,0.0,shock,0.64,0.64,0.07999999999999996,0.07999999999999996,1.0,9.0,0.16666666666666666,S1
6,0.0,0.36,0.28,0.84,0.87,1.0,14.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.87,0.84,0.36,0.28,14.000000000000002,36.0,0.2884615384615385,S1
7,0.0,0.24,0.56,0.65,1.34,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,shock,1.34,0.65,0.24,0.56,1.0,0.0,0.6666666666666666,S1
8,0.0,0.24,0.42000000000000004,0.13,0.29,0.2,5.0,10.0,0.4472135954999579,0.0,1,0.0,shock,0.29,0.13,0.24,0.42000000000000004,5.0,5.0,0.5,S1
9,0.0,0.26,0.56,0.4,0.68,1.0,28.000000000000004,50.0,1.0,0.0,0,0.0,shock,0.68,0.4,0.26,0.56,28.000000000000004,21.999999999999996,0.5576923076923077,S1
10,1.0,0.8,0.36,0.75,0.94,0.1,2.0,5.0,0.31622776601683794,1.0,1,0.0,shock,0.94,0.75,0.8,0.36,2.0,3.0,0.42857142857142855,S1
11,1.0,0.88,0.12,1.24,0.05,0.2,0.0,10.0,0.4472135954999579,1.0,1,0.0,shock,0.05,1.24,0.88,0.12,0.0,10.0,0.08333333333333333,S1
12,0.0,0.76,0.18000000000000005,0.87,0.12,1.0,9.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.12,0.87,0.76,0.18000000000000005,9.000000000000002,41.0,0.19230769230769235,S1
13,0.0,0.43999999999999995,0.4,0.94,0.98,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.98,0.94,0.43999999999999995,0.4,1.0,0.0,0.6666666666666666,S1
14,0.0,0.16000000000000003,0.62,0.2,0.45,0.04,1.0,2.0,0.2,0.0,1,0.0,shock,0.45,0.2,0.16000000000000003,0.62,1.0,1.0,0.5,S1
15,0.0,0.19999999999999996,0.24,0.38,0.39,1.0,12.0,50.0,1.0,0.0,0,0.0,shock,0.39,0.38,0.19999999999999996,0.24,12.0,38.0,0.25,S1
16,0.0,0.24,0.16000000000000003,0.86,0.78,0.06,0.0,3.0,0.2449489742783178,0.0,1,0.0,shock,0.78,0.86,0.24,0.16000000000000003,0.0,3.0,0.2,S1
17,0.0,0.4,0.4,1.0,0.98,0.1,2.0,5.0,0.31622776601683794,0.0,1,0.0,shock,0.98,1.0,0.4,0.4,2.0,3.0,0.42857142857142855,S1
18,0.0,0.92,0.6,0.54,0.2,1.0,30.0,50.0,1.0,0.0,0,0.0,shock,0.2,0.54,0.92,0.6,30.0,20.0,0.5961538461538461,S1
19,1.0,0.48,0.07999999999999996,0.29,0.16,1.0,3.9999999999999982,50.0,1.0,1.0,0,0.0,shock,0.16,0.29,0.48,0.07999999999999996,3.9999999999999982,46.0,0.09615384615384612,S1
20,0.0,0.12,0.19999999999999996,0.06,0.08,0.4,5.0,20.0,0.6324555320336759,0.0,1,0.0,shock,0.08,0.06,0.12,0.19999999999999996,5.0,15.0,0.2727272727272727,S1
21,1.0,0.28,0.48,0.21,0.58,1.0,24.0,50.0,1.0,1.0,0,0.0,shock,0.58,0.21,0.28,0.48,24.0,26.0,0.4807692307692308,S1
22,0.0,0.06000000000000005,0.72,0.2,0.8,0.08,3.0,4.0,0.282842712474619,0.0,1,0.0,shock,0.8,0.2,0.06000000000000005,0.72,3.0,1.0,0.6666666666666666,S1
23,1.0,0.76,0.07999999999999996,0.21,0.16,1.0,3.9999999999999982,50.0,1.0,1.0,0,0.0,shock,0.16,0.21,0.76,0.07999999999999996,3.9999999999999982,46.0,0.09615384615384612,S1
24,0.0,0.48,0.72,0.29,0.18,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.18,0.29,0.48,0.72,1.0,0.0,0.6666666666666666,S1
25,0.0,0.48,0.16000000000000003,0.7,0.38,1.0,8.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.38,0.7,0.48,0.16000000000000003,8.000000000000002,42.0,0.1730769230769231,S1
26,0.0,0.54,0.7,0.73,1.01,0.04,1.0,2.0,0.2,0.0,1,0.0,shock,1.01,0.73,0.54,0.7,1.0,1.0,0.5,S1
27,0.0,0.12,0.14,0.24,0.19,1.0,7.000000000000001,50.0,1.0,0.0,0,0.0,shock,0.19,0.24,0.12,0.14,7.000000000000001,43.0,0.15384615384615385,S1
28,0.0,0.040000000000000036,0.6799999999999999,0.63,0.94,0.8,26.0,40.0,0.8944271909999159,0.0,1,0.0,shock,0.94,0.63,0.040000000000000036,0.6799999999999999,26.0,14.0,0.6428571428571429,S1
29,0.0,0.07999999999999996,0.76,0.16,0.62,0.4,14.0,20.0,0.6324555320336759,0.0,1,0.0,shock,0.62,0.16,0.07999999999999996,0.76,14.0,6.0,0.6818181818181818,S1
30,1.0,0.19999999999999996,0.48,0.45,0.59,1.0,24.0,50.0,1.0,1.0,0,0.0,shock,0.59,0.45,0.19999999999999996,0.48,24.0,26.0,0.4807692307692308,S1
31,1.0,0.4,0.19999999999999996,1.0,0.67,1.0,9.999999999999998,50.0,1.0,1.0,0,0.0,shock,0.67,1.0,0.4,0.19999999999999996,9.999999999999998,40.0,0.2115384615384615,S1
32,1.0,0.24,0.48,0.44,0.5,1.0,24.0,50.0,1.0,1.0,0,0.0,shock,0.5,0.44,0.24,0.48,24.0,26.0,0.4807692307692308,S1
33,0.0,0.43999999999999995,0.6799999999999999,1.07,0.94,1.0,34.0,50.0,1.0,0.0,0,0.0,shock,0.94,1.07,0.43999999999999995,0.6799999999999999,34.0,16.0,0.6730769230769231,S1
34,0.0,0.06000000000000005,0.72,0.2,0.8,0.06,2.0,3.0,0.2449489742783178,0.0,1,0.0,shock,0.8,0.2,0.06000000000000005,0.72,2.0,1.0,0.6,S1
35,0.0,0.72,0.4,0.18,0.25,1.0,20.0,50.0,1.0,0.0,0,0.0,shock,0.25,0.18,0.72,0.4,20.0,30.0,0.40384615384615385,S1
36,0.0,0.28,0.06000000000000005,0.31,0.2,0.4,1.0,20.0,0.6324555320336759,0.0,1,0.0,shock,0.2,0.31,0.28,0.06000000000000005,1.0,19.0,0.09090909090909091,S1
37,0.0,0.52,0.4,0.1,0.5,1.0,20.0,50.0,1.0,0.0,0,0.0,shock,0.5,0.1,0.52,0.4,20.0,30.0,0.40384615384615385,S1
38,0.0,0.42000000000000004,0.42000000000000004,0.05,0.17,0.08,1.0,4.0,0.282842712474619,0.0,1,0.0,shock,0.17,0.05,0.42000000000000004,0.42000000000000004,1.0,3.0,0.3333333333333333,S1
39,0.0,0.48,0.74,0.7,1.1,0.1,3.0,5.0,0.31622776601683794,0.0,1,0.0,shock,1.1,0.7,0.48,0.74,3.0,2.0,0.5714285714285714,S1
40,0.0,0.19999999999999996,0.16000000000000003,0.22,0.07,0.02,0.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.07,0.22,0.19999999999999996,0.16000000000000003,0.0,1.0,0.3333333333333333,S1
41,1.0,0.6599999999999999,0.76,0.16,0.14,1.0,38.0,50.0,1.0,1.0,0,0.0,shock,0.14,0.16,0.6599999999999999,0.76,38.0,12.0,0.75,S1
42,0.0,0.040000000000000036,0.07999999999999996,0.63,0.33,0.08,0.0,4.0,0.282842712474619,0.0,1,0.0,shock,0.33,0.63,0.040000000000000036,0.07999999999999996,0.0,4.0,0.16666666666666666,S1
43,0.0,0.040000000000000036,0.76,0.05,1.25,1.0,38.0,50.0,1.0,0.0,0,0.0,shock,1.25,0.05,0.040000000000000036,0.76,38.0,12.0,0.75,S1
44,0.0,0.4,0.07999999999999996,0.58,0.27,0.06,0.0,3.0,0.2449489742783178,0.0,1,0.0,shock,0.27,0.58,0.4,0.07999999999999996,0.0,3.0,0.2,S1
45,1.0,0.5800000000000001,0.09999999999999998,0.11,0.15,0.8,3.0,40.0,0.8944271909999159,1.0,1,0.0,shock,0.15,0.11,0.5800000000000001,0.09999999999999998,3.0,37.0,0.09523809523809523,S1
46,0.0,0.45999999999999996,0.48,0.51,0.43,1.0,24.0,50.0,1.0,0.0,0,0.0,shock,0.43,0.51,0.45999999999999996,0.48,24.0,26.0,0.4807692307692308,S1
47,0.0,0.19999999999999996,0.28,0.77,0.81,1.0,14.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.81,0.77,0.19999999999999996,0.28,14.000000000000002,36.0,0.2884615384615385,S1
48,0.0,0.6,0.36,0.75,0.94,1.0,18.0,50.0,1.0,0.0,0,0.0,shock,0.94,0.75,0.6,0.36,18.0,32.0,0.36538461538461536,S1
49,1.0,0.88,0.12,1.24,0.05,0.04,0.0,2.0,0.2,1.0,1,0.0,shock,0.05,1.24,0.88,0.12,0.0,2.0,0.25,S1
50,1.0,0.52,0.76,1.15,0.79,1.0,38.0,50.0,1.0,1.0,0,0.0,shock,0.79,1.15,0.52,0.76,38.0,12.0,0.75,S1
51,0.0,0.24,0.48,1.25,0.63,0.2,6.0,10.0,0.4472135954999579,0.0,1,0.0,shock,0.63,1.25,0.24,0.48,6.0,4.0,0.5833333333333334,S1
52,1.0,0.74,0.74,0.34,0.49,1.0,37.0,50.0,1.0,1.0,0,0.0,shock,0.49,0.34,0.74,0.74,37.0,13.0,0.7307692307692307,S1
